#/panfs/panasas/cnt0026/ims1703/ttonnellier/aff3ct/build/./bin/aff3ct --term-freq "60000" --sim-type "BFER" --cde-type "TURBO" --dec-type "DVB-RCS2" -K "1504" -N "1880" -m "3.4" -M "4.6" -s "0.2" --dec-implem "FAST" -i "8" --mod-type "PSK" --mod-bps "2" -e "75" --chn-type "AWGN_FAST" --crc-type "FAST" --crc-poly "32-GZIP" --dec-fnc --sim-pyber "DVB2 1504 45 FNC i3" 
# Curve name:
# DVB2 1504 45 FNC i3
# -------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOL >> ----
# -------------------------------------------------
# Parameters:
# * Simulation ------------------------------------
#    ** Type                     = BFER
#    ** SNR min (m)              = 3.400000 dB
#    ** SNR max (M)              = 4.600100 dB
#    ** SNR step (s)             = 0.200000 dB
#    ** Type of bits             = int (32 bits)
#    ** Type of reals            = float (32 bits)
#    ** Inter frame level        = 1
#    ** Seed                     = 0
#    ** MPI comm. freq. (ms)     = 1000
#    ** MPI size                 = 10
#    ** Multi-threading (t)      = 48 thread(s)
# * Code ------------------------------------------
#    ** Type                     = TURBO
#    ** Info. bits (K)           = 1472 + 32 (CRC)
#    ** Codeword size (N)        = 1880
#    ** Code rate (R)            = 0.800000
#    ** Coset approach (c)       = off
# * Source ----------------------------------------
#    ** Type                     = RAND
# * CRC -------------------------------------------
#    ** Type                     = FAST
#    ** Name                     = 32-GZIP
#    ** Polynomial (hexadecimal) = 0x4c11db7
#    ** Size (in bit)            = 32
#    ** Add CRC in the code rate = off
# * Encoder ---------------------------------------
#    ** Type                     = TURBO_DB
#    ** Systematic encoding      = on
#    ** Polynomials              = {013,015}
#    ** Buffered                 = on
# * Puncturer -------------------------------------
#    ** Pattern                  = {111,111,111}
# * Interleaver -----------------------------------
#    ** Type                     = ARP_DVB2
#    ** Uniform                  = off
# * Modulator -------------------------------------
#    ** Type                     = PSK
#    ** Bits per symbol          = 2
#    ** Sampling factor          = 1
# * Channel ---------------------------------------
#    ** Type                     = AWGN_FAST
# * Demodulator -----------------------------------
#    ** Sigma square             = on
#    ** Max type                 = MAX
# * Decoder ---------------------------------------
#    ** Type (D)                 = BCJR_DB
#    ** Implementation           = FAST
#    ** Num. of iterations (i)   = 8
#    ** Scaling factor           = DB
#    ** Max type                 = MAX
#    ** Self-corrected           = off
#    ** Flip aNd Check (FNC)     = on
#    ** FNC q                    = 10
#    ** FNC ite min              = 3
#    ** FNC ite max              = 8
#    ** FNC ite step             = 1
# * Monitor ---------------------------------------
#    ** Frame error count (e)    = 75
#    ** Bad frames tracking      = off
#    ** Bad frames replay        = off
#
# The simulation is running...
# ----------------------------------------------------------------------||---------------------
#       Bit Error Rate (BER) and Frame Error Rate (FER) depending       ||  Global throughput  
#                    on the Signal Noise Ratio (SNR)                    ||  and elapsed time   
# ----------------------------------------------------------------------||---------------------
# -------|-------|----------|----------|----------|----------|----------||----------|----------
   Es/N0 | Eb/N0 |      FRA |       BE |       FE |      BER |      FER || SIM_CTHR |    ET/RT 
#   (dB) |  (dB) |          |          |          |          |          ||   (Mb/s) | (hhmmss) 
# -------|-------|----------|----------|----------|----------|----------||----------|----------
    5.35 |  3.40 |   191377 |     4989 |      126 | 1.77e-05 | 6.58e-04 ||  1129.71 | 00h00'00  
    5.55 |  3.60 |  2434907 |     2958 |       90 | 8.25e-07 | 3.70e-05 ||  1537.06 | 00h00'07  
    5.75 |  3.80 | 28154068 |     1396 |       77 | 3.37e-08 | 2.73e-06 ||  1736.83 | 00h01'13  
    5.95 |  4.00 | 2.48e+08 |      653 |       75 | 1.79e-09 | 3.02e-07 ||  1897.20 | 00h09'50  
    6.15 |  4.20 | 8.79e+08 |      506 |       75 | 3.91e-10 | 8.53e-08 ||  1990.46 | 00h33'12  
    6.35 |  4.40 | 3.16e+09 |      489 |       75 | 1.05e-10 | 2.38e-08 ||  2049.14 | 01h55'48  
    6.55 |  4.60 | 1.31e+10 |      398 |       75 | 2.06e-11 | 5.72e-09 ||  2069.71 | 07h56'44  
 #   6.75 |  4.80 | 7.25e+09 |       71 |       11 | 6.66e-12 | 1.52e-09 ||   421.74 | 76h21'00  
