%!TEX root = ../../my_thesis.tex
SNR	BER
-1	0.1038    
-0.5    0.0909
0	0.0786496035251426
0.5	0.0670651983296127
1	0.0562819519765415
1.5	0.0464012759560713
2	0.037506128358926
2.5	0.0296552876260368
3	0.0228784075610853
3.5	0.017172541679246
4	0.0125008180407376
4.5	0.00879381053056083
5	0.00595386714777866
5.5	0.00386223164281013
6	0.00238829078093281
6.5	0.00139980483948023
7	0.000772674815378444
7.5	0.000398796335159163
8	0.000190907774075993
8.5	0.0000839995391790108
9	0.0000336272284196175
9.5	0.0000121088932770337
10	0.00000387210821552204

