%!TEX root = ../../my_thesis.tex
SNR	FER
0.0	8.33987737642083e-05
0.1	6.52447397792558e-05
0.2	5.07869816290967e-05
0.3	3.93308298128771e-05
0.4	3.02997636539373e-05
0.5	2.32178106909117e-05
0.6	1.76941003081987e-05
0.7	1.34093897256760e-05
0.8	1.01043821026967e-05
0.9	7.56966077003356e-06
1.0 5.63707005494299e-06
1.1 4.17238138423744e-06
1.2	3.06909292955516e-06
1.3	2.24322161370961e-06
1.4	1.62895747409402e-06
1.5	1.17506186183651e-06
1.6	8.41902466542171e-07
%1.7	5.99029460133486e-07
%1.8	4.23207955245688e-07
%1.9	2.96832320233378e-07
%2.0	2.06657569068855e-07
