Ite	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	
0	587	624	538	579	651	459	548	608	583	495	572	617	561	580	662	545	693	590	556	490	632	465	508	662	587	571	515	564	573	446	544	524	534	564	549	517	590	551	550	605	506	583	630	432	600	531	523	611	486	514	539	660	555	624	553	640	576	505	568	585	595	549	550	592	598	591	595	599	614	547	659	610	502	668	536	544	535	514	569	592	523	609	584	512	598	638	670	599	584	525	588	550	503	534	565	585	538	552	472	582	
1	522	517	466	321	564	406	445	462	532	338	397	446	522	531	547	386	427	545	483	353	538	292	263	432	410	468	440	499	365	291	459	347	329	502	493	296	466	386	414	342	230	450	500	156	480	453	279	411	218	316	242	482	414	532	468	535	546	322	396	395	467	408	524	398	354	378	366	419	454	343	393	405	238	573	413	509	390	259	503	588	400	584	357	425	468	577	582	399	354	296	440	342	188	320	453	388	260	407	453	535	
2	502	457	392	147	509	340	342	269	534	257	206	253	338	473	360	253	216	540	390	191	537	54	16	199	291	392	322	382	224	65	477	208	144	479	325	35	235	131	334	111	30	140	292	1	363	484	33	240	7	102	77	389	282	434	378	395	478	208	328	200	298	250	289	207	103	228	176	251	417	149	201	195	49	478	177	404	291	86	519	508	273	573	203	349	194	518	560	241	137	76	275	194	4	102	403	197	48	308	363	465	
3	439	386	316	2	440	178	233	13	526	56	3	49	101	353	221	54	27	527	271	32	407	1	0	25	71	345	184	271	43	0	470	28	18	342	130	0	126	22	232	16	0	20	163	0	290	433	0	47	0	6	0	237	180	191	188	356	330	47	192	32	85	60	50	33	0	103	12	97	273	5	63	67	2	281	27	304	117	3	518	393	186	522	33	185	2	523	573	50	5	0	64	144	0	1	335	7	0	90	179	387	
4	271	229	215	0	257	9	60	2	553	1	0	0	0	125	42	6	0	539	167	0	227	0	0	0	1	273	7	99	0	0	424	0	0	300	12	0	14	0	124	0	0	0	14	0	183	359	0	0	0	0	0	110	87	52	25	310	124	0	31	0	0	0	1	0	0	0	0	9	92	0	10	0	0	93	0	228	8	0	372	316	2	514	0	27	0	473	521	0	0	0	0	16	0	0	230	0	0	1	82	207	
5	67	11	47	0	40	0	6	0	517	0	0	0	0	3	0	0	0	498	5	0	140	0	0	0	0	109	0	3	0	0	347	0	0	174	0	0	0	0	0	0	0	0	0	0	17	289	0	0	0	0	0	10	1	0	0	236	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	72	1	0	299	191	0	518	0	0	0	428	433	0	0	0	0	0	0	0	42	0	0	0	2	3	
6	1	0	0	0	0	0	0	0	500	0	0	0	0	0	0	0	0	416	0	0	5	0	0	0	0	2	0	0	0	0	240	0	0	8	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	34	0	452	0	0	0	372	375	0	0	0	0	0	0	0	1	0	0	0	0	0	
7	0	0	0	0	0	0	0	0	499	0	0	0	0	0	0	0	0	364	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	446	0	0	0	351	335	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0	0	0	0	0	0	0	0	403	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	523	0	0	0	259	309	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569	0	0	0	103	206	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	494	0	0	0	12	74	0	0	0	0	0	0	0	0	0	0	0	0	0	
