Ite	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	
0	567	571	579	536	477	621	621	528	618	634	578	566	635	659	610	579	558	464	627	567	543	592	707	587	598	646	619	538	660	556	610	541	594	496	619	548	655	568	621	584	634	528	586	604	580	573	510	653	618	498	618	672	576	670	673	652	600	613	615	531	609	612	569	587	601	632	684	621	549	622	592	553	682	628	679	602	654	548	609	546	612	601	553	687	610	613	642	608	498	594	603	609	504	499	608	537	629	615	627	520	
1	493	496	534	607	519	741	626	573	552	665	518	564	639	585	446	590	588	531	584	601	546	624	631	544	549	626	631	520	696	555	588	494	564	508	543	617	644	589	611	610	584	567	617	530	636	604	496	618	622	441	642	566	568	613	588	719	628	542	604	563	594	603	560	600	610	624	662	547	591	633	625	617	654	562	712	630	640	639	581	543	631	491	584	732	639	627	660	655	533	590	567	524	481	592	673	618	622	622	562	522	
2	473	502	536	628	605	704	557	553	487	641	489	551	653	559	535	545	624	460	640	614	526	609	625	581	635	618	596	579	734	544	613	483	575	584	524	683	597	569	663	583	605	478	638	623	635	634	509	621	662	427	593	576	577	625	551	678	638	592	636	572	559	599	520	530	626	694	664	589	568	649	556	560	649	513	651	561	582	608	647	639	641	509	659	675	649	682	622	723	586	604	540	532	503	592	697	672	614	636	611	595	
3	536	532	568	564	563	663	566	545	473	563	541	541	621	527	613	532	648	415	578	553	652	657	672	538	635	657	643	595	702	518	571	525	576	600	612	593	528	464	714	524	560	507	622	639	629	620	462	553	678	394	639	628	656	601	632	649	541	604	639	565	617	572	620	548	627	627	645	664	537	611	617	553	742	536	608	591	573	595	660	632	621	498	646	724	633	681	603	666	576	630	573	546	446	530	667	671	522	629	666	573	
4	581	478	583	549	515	628	471	513	428	598	524	491	561	509	575	606	627	408	580	549	648	592	702	479	587	628	569	619	674	505	552	537	544	584	502	566	538	467	622	451	496	430	633	635	601	582	383	600	716	388	601	741	623	639	647	637	487	588	680	656	629	616	581	558	625	640	659	644	524	685	597	521	714	566	570	566	601	573	655	704	672	445	640	637	576	617	657	626	516	708	618	587	409	525	629	599	608	623	635	616	
5	542	467	540	605	585	637	529	607	492	565	487	480	549	581	564	634	599	457	549	631	606	602	649	560	638	551	559	659	681	470	597	529	543	514	464	539	587	531	590	467	516	502	665	577	587	602	443	625	603	353	632	680	577	639	598	587	472	558	675	627	631	654	556	527	589	700	687	648	481	722	594	530	633	603	629	619	604	545	697	722	625	528	566	642	549	694	641	676	518	723	620	612	519	565	654	643	602	608	547	627	
6	504	507	436	624	561	567	521	644	564	619	509	495	560	618	579	618	650	521	590	591	511	540	590	445	658	562	504	632	650	479	556	524	559	528	594	588	512	437	690	478	511	583	626	602	619	565	534	607	625	392	691	739	573	628	588	524	502	587	647	582	641	629	542	607	577	645	679	665	466	669	581	546	684	575	609	534	576	540	686	623	608	559	701	629	494	651	629	655	520	722	566	585	571	594	612	643	565	567	576	571	
7	524	485	469	574	573	667	577	615	584	549	483	474	544	592	613	611	597	488	649	556	492	562	611	417	620	652	572	609	617	472	567	498	644	623	528	594	546	499	634	499	505	572	639	678	589	627	516	615	644	430	669	616	554	616	656	569	590	608	699	600	586	616	610	603	540	624	661	622	504	664	659	602	681	521	648	518	618	552	631	604	557	512	639	680	520	604	622	617	503	584	535	616	561	542	655	641	559	650	701	558	
8	556	535	473	492	542	768	560	570	619	506	553	480	538	533	681	579	580	501	542	551	584	587	672	552	723	700	580	616	607	530	582	507	580	563	535	615	637	505	533	491	481	553	596	592	678	622	464	648	692	467	670	564	547	674	671	639	505	546	730	598	576	607	644	582	539	653	655	587	539	702	668	602	612	484	679	580	580	539	612	668	593	454	609	651	490	608	563	658	472	603	533	561	514	577	638	594	530	549	676	554	
9	534	528	493	486	564	667	604	534	584	539	523	532	617	535	664	500	624	507	556	529	567	618	661	553	641	675	664	577	714	555	578	539	572	516	521	613	626	550	622	524	499	556	574	566	685	646	476	633	686	456	627	608	568	601	622	611	567	536	726	606	591	564	588	566	531	626	628	591	587	651	670	599	682	510	617	655	600	539	586	596	667	570	604	640	528	619	589	653	447	604	568	494	519	610	570	629	587	612	608	532	
10	522	483	461	535	614	719	572	553	562	535	431	595	632	534	580	605	592	480	578	554	627	575	625	566	618	591	620	571	693	554	508	529	553	540	615	541	562	578	555	534	485	471	630	551	652	583	485	646	677	546	649	573	598	630	560	540	501	560	688	553	616	572	602	578	525	623	625	596	583	517	571	563	706	500	598	585	647	604	621	612	631	573	560	686	522	563	613	662	449	625	563	553	475	494	625	567	545	539	617	623	
11	516	542	553	593	540	671	592	561	546	634	423	494	631	576	593	626	540	432	578	523	628	658	660	547	633	642	578	587	684	559	569	537	498	535	627	515	616	520	572	559	480	525	687	588	610	605	432	672	709	481	687	537	536	676	582	581	429	624	594	569	580	628	558	591	627	682	682	679	564	544	608	449	649	526	634	543	579	572	627	644	646	559	519	668	524	558	581	617	499	642	543	509	441	584	653	678	576	643	641	631	
12	574	612	523	634	563	642	516	568	465	568	396	476	613	540	613	558	572	496	593	528	587	670	665	514	674	641	573	632	683	460	664	438	490	520	583	573	620	567	587	521	505	511	651	553	650	585	480	703	624	429	665	643	543	583	560	736	550	578	617	558	632	613	556	585	581	706	642	670	601	512	601	420	703	502	610	537	564	510	685	642	654	596	534	692	491	566	635	596	497	573	587	507	459	563	642	666	612	552	597	588	
13	561	522	473	614	606	590	607	631	447	572	425	514	528	576	563	562	572	549	653	611	532	622	684	489	590	655	535	590	676	462	641	451	516	546	520	628	628	555	566	534	577	499	645	587	578	591	560	635	568	402	617	641	577	646	596	718	488	677	623	522	717	568	491	541	596	705	595	600	562	613	581	377	701	489	601	601	549	562	677	638	679	584	552	647	541	576	632	677	538	677	624	572	498	569	629	622	570	494	603	583	
14	549	572	386	536	581	657	572	624	478	627	496	516	513	544	535	567	614	519	636	572	517	547	652	577	571	672	639	598	675	487	593	501	539	542	573	575	587	500	549	522	515	490	665	563	598	573	544	627	662	439	663	585	559	617	612	716	566	694	664	550	672	573	546	554	578	688	565	586	631	573	608	351	709	558	624	554	563	514	636	597	679	597	588	693	465	651	592	665	457	681	601	596	516	570	547	609	582	506	677	588	
15	564	530	418	523	528	616	595	523	534	542	512	549	568	516	462	536	556	430	638	543	568	560	667	612	511	604	653	572	666	552	570	478	518	564	583	530	602	494	609	598	531	540	621	563	625	547	577	728	649	395	718	573	648	548	611	667	612	606	671	537	620	621	593	569	615	625	664	525	685	608	618	352	632	465	566	588	614	514	684	593	651	516	647	652	523	614	615	604	499	675	572	528	470	505	598	642	666	540	642	650	
16	517	528	514	532	546	569	581	537	492	511	547	585	533	569	518	572	586	447	562	587	560	613	695	581	572	531	587	578	605	556	674	525	538	537	519	564	608	560	671	546	534	524	602	499	682	522	537	744	639	466	666	632	639	507	629	652	606	504	627	451	598	605	598	554	608	696	639	540	605	654	575	385	661	474	577	634	624	592	654	597	627	488	638	660	598	599	594	601	473	623	580	584	484	517	639	684	652	563	602	664	
17	467	540	494	628	555	626	538	548	464	541	480	544	555	595	615	536	655	490	515	627	525	562	714	573	668	631	630	589	646	487	608	546	528	482	512	533	624	576	645	502	637	473	605	476	699	542	587	625	670	413	713	717	570	598	641	654	600	479	657	486	617	612	530	610	601	691	637	567	576	630	615	368	709	522	625	593	610	703	628	573	593	497	642	735	597	625	646	610	458	623	624	615	456	539	586	620	641	583	596	644	
