Ite	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	
0	121	136	97	173	96	363	133	169	361	72	239	322	288	203	299	160	272	107	288	65	308	267	203	88	338	145	153	142	91	290	131	296	261	327	95	321	143	213	171	223	132	132	109	147	154	185	191	174	156	144	110	309	145	123	115	243	96	95	212	316	120	254	127	289	174	155	303	117	165	137	142	271	276	213	325	
1	14	20	11	22	3	383	9	11	299	6	208	261	283	112	283	32	264	2	289	6	259	271	78	4	338	8	24	21	1	301	17	290	283	378	9	307	20	124	41	102	14	18	12	48	22	78	70	58	41	15	3	324	48	17	4	81	1	2	77	301	20	200	19	302	39	35	313	7	37	32	23	282	262	34	272	
2	10	2	9	10	3	384	2	3	356	6	217	306	273	20	284	2	291	2	313	8	232	290	3	2	309	2	10	0	2	326	3	261	254	335	6	292	2	18	10	24	3	6	3	3	9	3	3	9	0	3	2	260	2	8	1	21	1	2	12	320	6	231	1	325	2	5	314	0	1	1	3	281	258	3	240	
3	10	2	10	9	3	390	2	3	331	6	233	266	288	7	291	3	281	2	276	9	245	276	3	2	296	2	10	1	2	326	2	238	284	321	6	303	2	1	11	3	3	6	3	2	12	1	3	6	0	3	2	302	2	8	1	13	0	3	3	289	6	201	2	285	2	7	294	1	2	3	3	295	230	2	220	
4	10	2	8	9	3	359	2	3	305	6	237	289	246	9	280	3	245	2	283	9	268	306	3	2	247	2	10	2	2	300	2	230	290	311	6	286	2	3	11	3	3	6	3	3	11	1	3	6	0	2	2	308	2	9	1	11	1	3	3	265	6	153	2	248	2	7	263	0	2	3	3	276	254	2	248	
5	10	2	10	9	3	382	2	3	300	6	247	243	210	10	252	2	242	2	296	9	273	247	3	2	255	2	9	2	2	318	2	237	334	344	6	307	2	3	13	3	3	6	3	3	11	1	3	6	0	2	2	276	2	9	1	13	1	3	3	338	6	153	2	277	2	7	278	1	2	3	3	285	225	2	206	
6	10	2	10	9	3	343	2	3	270	6	272	212	183	13	225	2	195	2	261	9	298	237	3	2	259	2	9	2	2	336	2	256	285	324	6	308	2	3	13	3	3	6	3	3	10	1	3	6	0	3	2	326	2	9	1	12	1	3	3	324	6	182	2	275	2	7	250	0	2	3	2	235	273	2	216	
7	10	2	10	9	3	356	2	3	281	6	259	213	181	10	311	2	247	2	237	9	270	308	5	2	250	2	9	2	2	366	2	235	259	340	6	290	2	3	13	3	3	6	3	3	12	1	3	6	1	3	2	303	2	9	1	13	1	3	5	278	6	180	2	275	2	7	227	1	2	3	2	213	290	2	249	
8	10	2	10	9	3	343	2	3	304	6	264	225	224	7	311	2	258	2	281	9	257	285	3	2	226	2	9	2	2	320	2	254	236	369	6	291	2	3	11	2	3	6	3	3	18	1	3	6	2	3	2	309	2	8	1	13	1	3	6	307	6	204	2	336	2	7	235	1	2	3	2	227	283	2	259	
9	10	2	10	9	3	303	2	3	277	6	268	228	253	11	282	2	210	2	309	9	221	274	6	2	231	2	9	2	2	290	2	223	252	305	6	256	2	3	11	3	3	6	2	3	12	1	3	6	4	3	2	263	2	8	1	13	1	3	6	288	6	227	2	343	2	7	269	1	2	3	2	205	246	2	265	
10	10	2	10	9	3	294	2	3	312	6	256	260	251	9	287	2	220	2	315	9	258	304	6	2	283	2	9	2	2	279	2	234	262	290	6	270	2	3	11	3	3	6	2	3	10	1	3	6	5	3	2	284	2	8	1	13	1	3	6	311	6	239	2	335	2	7	272	1	2	3	2	194	259	2	288	
11	10	2	10	9	3	315	2	3	279	6	300	248	260	8	285	2	241	2	324	9	253	252	6	2	290	2	9	2	2	310	2	249	249	289	6	259	2	3	11	3	3	6	3	3	11	1	3	6	6	3	2	300	2	8	1	13	1	3	6	302	6	214	2	333	2	7	243	1	2	3	2	202	319	2	322	
12	10	2	10	9	3	358	2	3	260	6	233	212	251	10	303	2	252	2	276	9	256	246	6	2	320	2	9	2	2	289	2	192	289	259	6	220	2	3	12	3	3	6	2	3	11	1	3	6	6	3	2	332	2	8	1	13	1	3	6	300	6	206	2	310	2	7	313	1	2	3	2	236	233	2	313	
13	10	2	10	9	3	370	2	3	284	6	215	238	212	11	257	2	244	2	281	9	283	232	6	2	351	2	9	2	2	253	2	245	254	263	6	241	2	3	12	3	3	6	2	3	10	1	3	6	6	3	2	350	2	8	1	13	1	3	6	253	6	255	2	287	2	7	277	1	2	3	2	251	197	2	317	
14	10	2	10	9	3	317	2	3	333	6	243	260	244	7	293	2	240	2	335	9	242	249	6	2	303	2	9	2	2	272	2	258	254	261	6	261	2	3	12	3	3	6	2	3	10	1	3	6	6	3	2	307	2	8	1	13	1	3	6	284	6	269	2	276	2	7	274	1	2	3	2	252	147	2	270	
15	10	2	10	9	3	338	2	3	356	6	296	282	271	8	362	2	197	2	325	9	282	252	6	2	315	2	9	2	2	285	2	220	272	265	6	228	2	3	11	3	3	6	2	3	18	1	3	6	6	3	2	285	2	8	1	13	1	3	6	281	6	255	2	323	2	7	283	1	2	3	2	245	180	2	279	
16	10	2	10	9	3	295	2	3	313	6	301	304	247	12	294	2	247	2	335	9	284	207	6	2	275	2	9	2	2	305	2	260	303	289	6	196	2	3	11	3	3	6	2	3	11	1	3	6	6	3	2	263	2	9	1	13	1	3	6	249	6	274	2	320	2	7	245	1	2	3	2	227	171	2	235	
17	10	2	10	9	3	259	2	3	305	6	290	279	220	7	279	2	286	2	330	9	271	177	6	2	262	2	9	2	2	302	2	283	325	288	6	216	2	3	11	3	3	6	2	3	11	1	3	6	6	3	2	281	2	9	1	13	1	3	6	259	6	305	2	325	2	7	239	1	2	3	2	240	175	2	237	
18	10	2	9	9	3	316	2	3	306	6	252	265	244	7	269	2	225	2	304	9	277	168	6	2	268	2	9	2	2	341	2	315	279	284	6	189	2	3	11	3	3	6	2	3	11	1	3	6	6	3	2	248	2	9	1	13	1	3	6	266	6	258	2	321	2	7	269	1	2	3	2	227	179	2	225	
19	10	2	10	9	3	315	2	3	297	6	258	288	276	12	281	2	197	2	260	9	284	214	6	2	252	2	9	2	2	305	2	275	267	318	6	223	2	3	11	3	3	6	2	3	13	1	3	6	6	3	2	256	2	9	1	13	1	3	6	305	6	242	2	301	2	7	303	1	2	3	2	202	163	2	246	
20	10	2	9	9	3	268	2	3	297	6	259	257	291	11	274	2	230	2	297	9	319	262	6	2	260	2	9	2	2	338	2	256	296	346	6	235	2	3	11	3	3	6	2	3	10	1	3	6	6	3	2	287	2	8	1	13	1	3	6	344	6	198	2	327	2	7	276	1	2	3	2	218	176	2	238	
21	10	2	10	9	3	279	2	3	330	6	225	179	332	8	280	2	227	2	275	9	305	311	6	2	284	2	9	2	2	305	2	282	286	328	6	287	2	3	11	3	3	6	2	3	10	1	3	6	6	3	2	266	2	8	1	13	1	3	6	302	6	192	2	320	2	7	288	1	2	3	2	203	188	2	208	
22	10	2	8	9	3	276	2	3	286	6	247	171	314	7	283	2	225	2	259	9	289	242	6	2	256	2	9	2	2	316	2	264	319	327	6	257	2	3	11	3	3	6	2	3	16	1	3	6	6	3	2	269	2	8	1	13	1	3	6	263	6	172	2	271	2	7	347	1	2	3	2	204	235	2	166	
23	10	2	10	9	3	252	2	3	315	6	292	201	300	12	297	2	243	2	284	9	318	249	6	2	261	2	9	2	2	298	2	281	289	303	6	234	2	3	11	3	3	6	2	3	16	1	3	6	6	3	2	256	2	8	1	13	1	3	6	285	6	227	2	208	2	7	303	1	2	3	2	204	235	2	198	
24	10	2	8	9	3	271	2	3	322	6	299	217	306	7	331	2	270	2	255	9	324	274	6	2	279	2	9	2	2	330	2	281	281	320	6	233	2	3	11	3	3	6	2	3	11	1	3	6	6	3	2	265	2	8	1	13	1	3	6	304	6	209	2	210	2	7	283	1	2	3	2	211	173	2	228	
25	10	2	10	9	3	295	2	3	310	6	292	207	262	7	295	2	274	2	248	9	317	252	6	2	308	2	9	2	2	303	2	255	287	315	6	217	2	3	11	3	3	6	2	3	11	1	3	6	6	3	2	231	2	9	1	13	1	3	6	346	6	255	2	214	2	7	232	1	2	3	2	233	181	2	246	
26	10	2	8	9	3	297	2	3	272	6	282	179	254	12	249	2	259	2	222	9	333	215	6	2	324	2	9	2	2	323	2	291	267	322	6	252	2	3	11	3	3	6	2	3	15	1	3	6	6	3	2	283	2	9	1	13	1	3	6	319	6	230	2	212	2	7	276	1	2	3	2	228	156	2	248	
