   1.10 | 1.54e+08 |     5525 |      100 | 2.02e-08 | 6.51e-07 ||     0.13 |     0.04 | 42203.65 ||     4.77 | 47h52'48  
----------------------------
FE for stats:	75  	 OK Frames:	75
-- Osc per ite (false fr) --
------ Nat Nat            --
Ite	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	
0	532	467	407	586	471	668	446	488	616	424	576	648	598	544	603	504	602	456	563	392	602	598	587	443	667	464	510	453	441	621	519	603	643	642	458	656	454	597	513	568	459	453	398	531	491	524	544	525	477	554	457	646	493	433	508	576	410	467	574	594	445	589	436	568	549	509	596	457	538	518	463	574	572	585	666	
1	188	170	102	207	138	698	141	213	627	56	446	590	534	389	573	236	505	108	466	57	575	609	295	146	657	193	154	259	74	590	193	565	540	627	99	581	129	370	228	395	183	215	127	211	205	317	293	243	230	236	115	582	261	147	156	408	70	106	320	607	170	543	126	607	310	240	577	120	265	270	260	607	535	254	556	
2	26	21	5	17	5	695	2	1	641	7	475	556	545	188	613	13	582	0	504	3	621	627	115	2	650	1	19	19	0	633	38	558	573	653	2	616	8	247	25	194	17	10	7	40	28	114	76	120	51	9	1	544	52	10	2	122	1	13	66	674	15	546	11	640	41	32	586	6	36	29	27	608	536	17	587	
3	8	3	2	1	0	682	0	0	666	3	508	581	591	29	634	1	524	0	556	2	586	644	4	0	603	2	2	1	0	705	0	569	619	593	0	589	0	44	1	42	0	1	1	2	35	1	4	0	2	1	0	626	1	10	1	25	0	0	8	617	0	557	0	562	0	11	584	0	0	1	1	623	617	0	569	
4	5	0	1	3	0	678	0	0	606	1	591	562	554	15	586	0	536	0	575	1	583	556	3	0	546	0	1	0	0	629	0	477	611	605	1	651	0	0	1	1	0	0	0	1	27	0	0	8	1	1	0	644	0	6	0	16	0	0	5	646	1	486	0	572	0	1	525	0	0	0	1	592	574	0	591	
5	1	0	1	3	0	670	0	0	622	0	520	535	492	15	557	0	565	0	646	0	524	591	3	0	570	0	0	1	0	612	0	527	582	696	0	599	0	0	0	1	0	0	2	0	6	0	0	6	1	0	1	597	0	4	0	27	0	0	5	659	0	452	0	578	0	2	620	0	0	4	1	561	546	0	561	
6	1	1	2	3	0	697	0	0	612	0	571	523	497	9	628	1	538	0	522	0	570	603	3	0	587	0	1	0	0	695	0	561	578	716	0	613	0	0	0	3	0	0	1	0	15	0	0	4	0	0	0	573	0	6	0	13	0	0	5	607	0	463	0	550	0	1	555	0	0	0	0	562	541	0	547	
7	0	0	1	1	0	684	0	1	589	0	538	473	491	7	613	0	480	0	510	0	633	612	2	0	517	0	0	0	0	655	0	468	608	728	0	608	0	0	0	2	0	0	1	0	12	0	0	5	0	0	0	601	0	0	0	7	0	0	5	575	0	525	0	585	0	0	513	0	0	3	0	573	598	0	564	
8	0	0	0	0	0	665	0	0	608	1	526	483	552	6	592	0	486	0	565	0	598	613	3	0	532	0	1	0	0	622	0	492	544	687	0	592	0	0	0	2	0	0	1	0	21	0	0	1	0	0	0	563	0	7	0	4	0	0	4	595	0	529	0	570	0	0	585	0	0	1	0	513	556	0	513	
9	0	0	0	0	0	651	0	0	656	0	525	548	563	4	603	0	512	0	590	0	578	613	3	0	569	0	0	0	0	601	0	530	554	614	0	576	0	0	0	1	0	0	0	0	5	0	0	4	0	0	0	541	0	4	0	2	0	0	4	570	1	601	0	542	0	0	654	0	0	0	0	491	518	0	548	
