Ite	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	
0	328	311	201	345	297	653	333	367	586	231	495	541	515	423	625	342	529	297	535	195	566	582	367	335	645	339	298	317	280	612	339	523	564	610	211	605	333	460	342	437	345	312	338	352	362	480	460	406	313	350	330	623	390	269	276	451	210	269	421	552	345	574	340	610	366	383	553	287	435	338	320	587	515	390	600	
1	52	94	47	60	21	693	39	57	647	17	503	582	560	287	610	104	596	36	539	8	513	623	199	32	599	57	53	135	11	645	65	511	528	679	38	547	61	319	144	309	72	56	45	134	84	269	215	111	99	68	18	558	181	59	31	237	5	28	198	653	97	512	101	713	145	159	590	23	147	89	100	605	568	115	580	
2	6	5	8	5	1	719	0	1	699	1	521	567	603	82	585	1	562	0	494	6	604	585	33	0	627	2	8	6	1	672	12	529	565	650	1	575	2	136	22	132	2	3	7	10	27	37	37	21	3	5	1	588	24	11	1	40	4	3	28	603	0	526	3	640	13	5	631	1	5	6	8	585	624	16	573	
3	4	1	16	18	0	652	0	1	673	0	554	555	565	11	641	0	506	0	601	4	608	620	6	0	542	0	2	0	0	651	0	500	600	641	0	604	0	2	12	15	0	0	13	4	36	0	0	11	0	3	0	607	0	6	1	15	2	0	3	569	0	507	0	567	0	2	550	1	0	1	1	597	640	2	557	
4	2	0	12	6	0	638	0	1	634	0	508	559	519	6	620	0	512	0	550	0	559	561	3	0	544	0	7	0	0	675	0	511	587	615	0	567	0	0	4	4	0	0	12	1	7	0	0	10	0	0	0	557	0	4	1	12	0	0	3	671	1	505	0	572	0	2	553	1	0	2	1	560	588	1	513	
5	0	0	11	5	0	727	0	0	619	0	563	430	475	9	584	0	520	0	505	0	565	521	2	0	526	0	10	0	0	622	1	517	577	607	0	645	0	0	4	2	0	0	13	0	7	0	0	12	0	0	0	581	0	5	0	9	0	0	4	649	0	505	0	607	0	0	584	0	0	0	0	554	583	0	502	
6	0	0	8	5	0	698	0	1	627	0	586	398	533	14	596	0	531	0	502	0	612	560	3	0	530	0	2	0	0	634	0	534	593	697	0	581	0	0	5	1	0	0	4	0	12	0	0	6	0	0	0	589	0	3	0	4	0	0	5	608	0	485	1	610	0	0	512	0	0	0	0	561	602	0	583	
7	0	0	8	2	0	621	0	0	593	0	552	466	568	4	619	0	574	0	489	0	579	663	6	0	547	0	1	0	0	659	0	478	524	698	0	569	0	0	5	1	0	0	6	0	16	0	0	5	0	0	0	556	0	4	0	3	0	0	4	599	0	552	0	634	0	0	526	0	0	0	0	524	634	0	612	
8	0	0	7	2	0	697	0	0	647	0	560	476	583	11	647	0	514	0	540	0	585	562	6	0	558	0	3	0	0	608	0	446	524	629	0	590	0	0	1	1	0	0	1	0	8	0	0	6	1	0	0	519	0	3	0	1	0	0	4	679	0	551	0	637	0	0	639	0	0	0	0	476	555	0	530	
9	0	0	1	1	0	679	0	0	701	0	608	492	593	6	636	0	469	0	534	0	593	626	5	0	567	0	1	0	0	582	0	495	588	616	0	528	0	0	0	0	0	0	2	0	4	0	0	3	0	0	0	571	0	1	0	0	0	0	3	629	0	595	0	590	0	0	650	0	0	0	0	489	528	0	568	
10	0	0	5	0	0	669	0	0	665	0	615	464	601	12	641	0	519	0	600	0	620	628	4	0	581	0	0	0	0	585	0	550	586	668	0	528	0	0	4	0	0	0	1	0	11	0	0	3	0	0	0	573	0	3	0	0	0	0	3	617	0	522	0	639	0	0	600	0	0	0	0	511	646	0	621	
11	0	0	5	0	0	724	0	0	622	0	548	464	499	7	621	0	584	0	565	0	604	529	3	0	654	0	0	0	0	587	0	543	575	603	0	532	0	0	0	0	0	0	1	0	16	0	0	3	1	0	0	588	0	4	0	0	0	0	3	648	0	524	0	624	0	0	570	0	0	0	0	617	572	0	558	
12	0	0	5	1	0	685	0	0	644	0	537	506	502	11	573	0	542	0	583	0	571	595	1	0	608	0	0	0	0	556	0	540	537	616	0	545	0	0	0	0	0	0	0	0	3	0	0	3	0	0	0	629	0	6	0	0	0	0	2	642	0	593	0	613	0	0	601	0	0	0	0	599	550	0	727	
13	0	0	7	1	0	626	0	0	623	0	482	574	547	13	678	0	546	0	564	0	559	580	1	0	641	0	0	0	0	600	0	564	582	603	0	517	0	0	1	0	0	0	1	0	16	0	0	4	0	0	0	605	0	1	0	0	0	0	1	555	0	602	0	643	0	0	643	0	0	0	0	577	422	0	665	
14	0	0	9	0	0	680	0	0	671	0	588	564	573	10	664	0	477	0	551	0	601	603	1	0	573	0	0	0	0	646	0	507	572	596	0	522	0	0	1	0	0	0	0	0	18	0	0	3	1	0	0	548	0	0	0	0	0	0	1	594	0	605	0	648	0	0	604	0	0	0	0	638	482	0	557	
15	0	0	9	0	0	683	0	0	632	0	616	554	600	6	625	0	479	0	559	0	615	601	0	0	466	0	0	0	0	679	0	545	567	544	0	495	0	0	0	0	0	0	0	0	19	0	0	3	1	0	0	574	0	4	0	0	0	0	1	586	0	621	0	644	0	0	563	0	0	0	0	573	517	0	502	
