Ite	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	
0	684	624	496	710	629	903	649	660	809	561	754	836	774	710	828	658	734	599	746	502	803	788	736	631	891	630	674	591	606	827	693	810	778	869	556	888	612	802	657	717	621	626	636	637	649	743	791	712	616	706	607	842	686	568	658	705	518	627	739	837	651	823	628	740	695	721	794	621	747	674	609	793	782	708	852	
1	238	254	146	245	165	884	174	261	727	72	679	683	769	519	836	318	741	142	738	63	791	796	456	173	837	243	194	349	89	828	233	822	771	827	135	765	183	547	336	530	253	261	166	314	264	495	467	299	310	292	132	779	409	194	186	532	76	141	448	801	249	724	218	872	408	377	815	143	384	340	332	812	713	353	728	
2	32	26	19	28	8	889	2	7	789	11	700	729	787	261	837	18	786	2	797	6	741	806	140	5	777	5	27	29	6	815	51	778	781	859	4	861	13	368	60	318	22	14	14	45	53	155	111	139	57	12	1	751	81	22	7	137	1	17	88	827	18	721	21	872	59	38	838	12	44	43	38	800	738	36	796	
3	8	10	8	6	2	891	0	7	865	3	774	758	795	37	813	4	744	2	713	5	792	816	14	3	760	2	6	4	5	850	3	773	821	852	1	762	3	51	43	52	3	1	6	9	40	8	6	8	5	6	3	787	5	27	4	49	6	3	6	834	3	673	7	800	7	15	803	5	7	8	7	815	798	21	778	
4	12	6	24	25	2	847	0	6	848	2	786	796	691	31	808	3	686	2	844	1	762	790	12	3	729	0	10	3	5	824	3	764	814	806	1	785	3	5	48	9	3	0	18	5	43	9	2	17	7	10	3	768	4	31	6	41	4	3	5	850	3	671	7	715	7	4	709	6	7	8	7	815	739	23	744	
5	17	6	15	32	2	879	0	5	818	1	745	761	632	30	766	3	792	2	825	0	796	689	10	3	695	0	18	3	5	786	3	728	808	840	0	823	3	5	49	6	3	0	30	7	13	9	2	29	6	9	3	781	4	27	5	51	4	3	3	835	1	712	7	807	7	3	803	5	7	10	9	819	705	24	702	
6	16	6	25	32	2	850	0	5	795	1	832	700	655	22	785	3	685	2	726	0	799	785	9	3	719	0	12	2	5	820	4	692	829	857	0	733	3	5	47	9	3	0	19	7	16	9	2	41	7	9	4	791	4	26	5	31	4	3	6	831	1	647	7	770	7	1	735	5	7	14	10	788	796	24	743	
7	15	5	31	24	2	871	0	4	774	1	775	653	709	7	767	4	760	2	680	0	773	874	9	3	696	0	9	2	5	843	4	717	826	884	0	827	3	5	52	9	3	0	14	7	41	9	2	37	7	9	4	821	4	33	5	30	4	3	2	740	1	711	6	832	7	0	754	5	7	14	10	823	851	24	777	
8	15	5	32	21	2	860	0	3	828	1	769	642	798	10	795	4	698	2	729	0	779	861	5	3	652	0	8	2	5	841	4	703	710	870	0	770	3	5	57	10	3	0	19	7	35	9	2	29	7	9	4	756	4	37	5	22	4	3	5	850	1	706	6	807	7	0	763	5	7	11	10	726	789	24	775	
9	15	5	25	23	2	830	0	3	791	0	769	763	761	17	814	4	708	2	754	0	796	790	6	3	752	0	10	2	5	797	4	709	778	742	0	740	3	5	56	9	3	0	21	7	12	9	2	34	6	9	4	686	4	43	5	21	4	3	3	846	1	762	6	806	7	0	871	5	7	10	10	731	766	24	750	
10	15	5	26	24	2	904	0	3	846	0	784	711	773	15	829	4	649	2	660	0	735	871	4	3	822	0	9	2	5	708	4	698	768	822	0	812	3	5	56	8	3	0	19	7	17	9	2	33	6	9	4	718	4	44	5	23	4	3	4	801	0	684	6	856	7	0	841	5	7	10	10	651	768	24	760	
11	15	5	21	24	2	845	0	3	822	0	798	650	711	10	824	4	740	2	760	0	740	781	5	3	754	0	9	2	5	816	4	735	803	886	0	706	3	5	52	8	3	0	17	7	36	9	2	34	6	9	4	798	4	43	5	23	4	3	2	784	0	674	6	820	7	0	758	5	7	10	10	650	719	24	816	
12	15	5	26	24	2	881	0	3	839	0	806	697	690	23	815	4	729	2	764	0	743	705	1	3	798	0	9	2	5	773	4	715	790	785	0	688	3	5	52	8	3	0	18	7	13	9	2	34	4	9	4	742	4	47	5	23	4	3	4	840	0	733	6	769	7	0	774	5	7	10	10	795	739	24	799	
13	15	5	21	23	2	815	0	3	785	0	694	701	738	25	733	4	688	2	779	0	711	793	2	3	819	0	9	2	5	739	4	713	783	821	0	731	3	5	52	8	3	0	18	7	9	9	2	36	4	9	4	842	4	39	5	23	4	3	1	751	0	775	6	780	7	0	794	5	7	10	10	759	689	24	847	
14	15	5	28	24	2	813	0	3	808	0	682	774	764	7	849	4	705	2	713	0	742	767	1	3	803	0	9	2	5	808	4	727	794	751	0	703	3	5	53	8	3	0	17	7	34	9	2	33	3	9	4	734	4	34	5	23	4	3	3	786	0	788	6	795	7	0	858	5	7	10	10	731	643	24	810	
15	15	5	21	24	2	819	0	3	848	0	788	739	826	19	861	4	712	2	805	0	745	737	1	3	666	0	9	2	5	825	4	643	816	758	0	756	3	5	54	8	3	0	17	7	58	9	2	34	3	9	4	746	4	35	5	23	4	3	1	794	0	778	6	834	7	0	732	5	7	10	10	780	687	24	716	
16	15	5	28	24	2	813	0	3	797	0	793	747	768	16	762	4	802	2	780	0	865	763	0	3	664	0	9	2	5	840	4	765	840	794	0	652	3	5	54	8	3	0	17	7	15	9	2	38	1	9	4	707	4	33	5	23	4	3	1	783	0	776	6	796	7	0	763	5	7	10	10	763	610	24	685	
17	15	5	20	24	2	852	0	3	796	0	775	808	684	9	786	4	833	2	723	0	743	768	1	3	728	0	9	2	5	816	4	685	842	822	0	694	3	5	54	8	3	0	17	7	13	9	2	39	0	9	4	771	4	29	5	23	4	3	1	771	0	807	6	870	7	0	712	5	7	10	10	703	672	24	676	
