Ite	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	
0	458	463	267	486	420	903	407	526	787	279	732	724	744	614	773	490	700	357	765	248	781	788	567	430	820	486	412	486	335	822	472	787	771	911	288	830	418	639	488	617	484	461	434	446	494	645	655	537	475	506	420	812	507	385	414	629	264	358	595	773	462	762	414	764	560	524	782	364	579	518	482	791	748	509	768	
1	76	108	48	74	29	878	41	60	826	26	623	775	729	412	831	120	756	38	756	6	734	793	297	33	798	62	72	152	15	790	102	769	759	842	40	768	70	491	164	437	94	62	49	165	95	336	276	222	152	76	19	709	244	71	34	320	6	43	236	800	113	703	108	863	170	193	830	29	181	122	120	819	698	147	766	
2	8	15	16	11	3	886	0	8	790	4	759	743	766	117	786	5	766	2	753	7	762	841	33	3	789	4	8	10	6	824	13	772	812	802	2	775	5	187	37	174	5	4	9	11	31	41	43	21	8	5	2	779	29	18	5	71	2	4	34	813	3	707	10	816	20	20	820	6	8	14	15	834	736	19	781	
3	16	7	8	7	2	839	0	7	855	2	770	829	752	26	825	3	700	2	797	3	792	754	14	3	721	0	8	3	5	867	3	764	802	815	1	765	3	7	42	12	3	0	5	9	69	9	2	8	7	7	3	779	4	37	5	38	6	3	6	763	3	646	7	786	7	4	747	5	7	7	6	764	755	21	791	
4	15	6	25	28	2	817	0	6	806	1	803	790	633	28	806	3	760	2	835	0	813	738	13	3	709	0	11	3	5	793	3	761	787	813	0	776	3	5	49	8	3	0	18	6	18	9	2	25	6	9	3	696	4	27	6	49	4	3	6	868	2	679	7	737	7	5	728	6	7	8	8	861	717	23	693	
5	16	6	14	35	2	915	0	5	796	1	769	744	602	19	757	3	713	2	735	0	812	708	9	3	707	0	18	2	5	816	3	713	844	854	0	806	3	5	49	7	3	0	32	7	15	9	2	33	7	9	4	802	4	27	5	40	4	3	4	872	1	726	7	795	7	1	791	5	7	14	10	818	749	24	731	
6	15	5	27	29	2	901	0	5	767	1	813	713	686	19	765	4	689	2	688	0	841	810	10	3	672	0	11	2	5	823	4	687	859	863	0	750	3	5	47	10	3	0	18	7	29	9	2	43	7	9	4	794	4	30	5	28	4	3	7	776	1	652	7	796	7	0	692	5	7	14	10	840	831	24	800	
7	15	5	30	23	2	877	0	3	853	1	793	636	774	10	810	4	726	2	726	0	796	846	7	3	655	0	9	2	5	836	4	699	772	920	0	819	3	5	52	9	3	0	13	7	45	9	2	34	7	9	4	770	4	33	5	25	4	3	3	757	1	714	6	817	7	0	715	5	7	11	10	778	831	24	791	
8	15	5	32	21	2	885	0	3	784	0	745	723	766	12	787	4	686	2	760	0	767	790	6	3	680	0	9	2	5	805	4	709	718	781	0	744	3	5	57	10	3	0	20	7	18	9	2	28	7	9	4	761	4	40	5	20	4	3	5	833	1	697	6	841	7	0	820	5	7	10	10	689	737	24	748	
9	15	5	25	23	2	853	0	3	823	0	814	727	760	15	861	4	676	2	664	0	782	843	5	3	771	0	10	2	5	784	4	705	788	778	0	772	3	5	56	8	3	0	21	7	13	9	2	36	6	9	4	695	4	45	5	23	4	3	3	838	0	729	6	782	7	0	863	5	7	10	10	728	788	24	736	
10	15	5	26	24	2	872	0	3	871	0	865	680	722	16	765	4	663	2	738	0	726	875	5	3	781	0	9	2	5	807	4	741	825	830	0	754	3	5	56	8	3	0	18	7	29	9	2	33	6	9	4	783	4	42	5	23	4	3	3	775	0	718	6	867	7	0	758	5	7	10	10	653	737	24	767	
11	15	5	21	24	2	823	0	3	829	0	768	697	723	16	844	4	771	2	755	0	753	762	2	3	840	0	9	2	5	844	4	700	749	776	0	684	3	5	52	8	3	0	17	7	25	9	2	33	5	9	4	792	4	45	5	23	4	3	3	852	0	727	6	729	7	0	742	5	7	10	10	736	743	24	781	
12	15	5	26	24	2	842	0	3	797	0	773	673	690	20	776	4	704	2	782	0	720	784	3	3	803	0	9	2	5	779	4	739	778	817	0	688	3	5	52	8	3	0	18	7	12	9	2	35	4	9	4	787	4	45	5	23	4	3	3	819	0	750	6	767	7	0	787	5	7	10	10	756	735	24	874	
13	15	5	21	23	2	817	0	3	801	0	640	742	739	20	817	4	735	2	791	0	709	747	0	3	844	0	9	2	5	814	4	717	796	762	0	696	3	5	52	8	3	0	18	7	18	9	2	37	3	9	4	821	4	33	5	23	4	3	2	705	0	806	6	806	7	0	855	5	7	10	10	748	659	24	841	
14	15	5	28	24	2	819	0	3	811	0	790	757	811	9	867	4	697	2	712	0	718	824	2	3	759	0	9	2	5	869	4	686	796	770	0	700	3	5	53	8	3	0	17	7	58	9	2	31	4	9	4	748	4	35	5	23	4	3	2	802	0	793	6	824	7	0	754	5	7	10	10	826	675	24	739	
15	15	5	21	24	2	840	0	3	815	0	779	743	790	20	809	4	725	2	819	0	798	760	0	3	634	0	9	2	5	851	4	708	839	750	0	703	3	5	54	8	3	0	17	7	32	9	2	35	2	9	4	789	4	35	5	23	4	3	0	759	0	795	6	846	7	0	728	5	7	10	10	742	699	24	715	
16	15	5	28	24	2	787	0	3	839	0	810	797	697	15	839	4	811	2	735	0	818	756	1	3	728	0	9	2	5	870	4	783	849	816	0	679	3	5	54	8	3	0	17	7	9	9	2	41	0	9	4	727	4	31	5	23	4	3	2	788	0	852	6	788	7	0	769	5	7	10	10	786	612	24	664	
17	15	5	19	24	2	867	0	3	777	0	718	789	707	9	812	4	793	2	753	0	695	729	0	3	771	0	9	2	5	851	4	678	824	863	0	673	3	5	54	8	3	0	17	7	26	9	2	37	0	9	4	792	4	32	5	23	4	3	0	762	0	819	6	859	7	0	795	5	7	10	10	755	720	24	685	
18	15	5	28	24	2	862	0	3	767	0	846	779	813	16	858	4	703	2	779	0	718	677	0	3	756	0	9	2	5	812	4	799	814	813	0	731	3	5	53	8	3	0	17	7	39	9	2	32	0	9	4	739	4	32	5	23	4	3	0	829	0	837	6	802	7	0	792	5	7	10	10	743	706	24	703	
19	15	5	19	24	2	872	0	3	792	0	671	728	788	19	814	4	711	2	777	0	796	717	0	3	698	0	9	2	5	781	4	809	774	850	0	735	3	5	53	8	3	0	17	7	11	9	2	39	0	9	4	826	4	35	5	23	4	3	0	843	0	726	6	766	7	0	810	5	7	10	10	791	704	24	752	
20	15	5	29	24	2	753	0	3	866	0	778	720	887	17	777	4	708	2	779	0	759	822	0	3	771	0	9	2	5	783	4	747	808	835	0	813	3	5	53	8	3	0	17	7	16	9	2	38	0	9	4	778	4	37	5	23	4	3	0	824	0	723	6	812	7	0	717	5	7	10	10	708	689	24	682	
21	15	5	19	24	2	787	0	3	816	0	745	648	805	11	816	4	739	2	765	0	762	786	0	3	789	0	9	2	5	823	4	730	846	850	0	764	3	5	53	8	3	0	17	7	44	9	2	32	0	9	4	802	4	40	5	23	4	3	0	730	0	723	6	791	7	0	829	5	7	10	10	683	707	24	683	
22	15	5	32	24	2	830	0	3	842	0	769	635	740	18	858	4	759	2	791	0	739	763	0	3	709	0	9	2	5	814	4	787	824	819	0	788	3	5	53	8	3	0	17	7	66	9	2	36	0	9	4	808	4	43	5	23	4	3	0	778	0	724	6	769	7	0	874	5	7	10	10	783	736	24	714	
23	15	5	19	24	2	782	0	3	871	0	828	643	761	20	797	4	766	2	745	0	785	724	0	3	770	0	9	2	5	751	4	829	772	841	0	718	3	5	53	8	3	0	17	7	15	9	2	39	0	9	4	762	4	39	5	23	4	3	0	755	0	711	6	776	7	0	900	5	7	10	10	707	690	24	699	
24	15	5	33	24	2	772	0	3	873	0	784	632	808	6	790	4	779	2	768	0	826	730	0	3	805	0	9	2	5	809	4	727	712	808	0	701	3	5	53	8	3	0	17	7	13	9	2	36	0	9	4	757	4	34	5	23	4	3	0	851	0	770	6	789	7	0	720	5	7	10	10	735	707	24	745	
