Ite	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	
0	433	414	431	467	466	445	506	445	442	368	467	443	453	485	430	476	442	407	429	461	463	424	439	418	431	447	421	430	425	434	453	389	474	422	462	411	445	496	412	493	456	460	436	421	466	487	427	456	440	453	438	457	519	504	415	456	437	426	413	452	461	454	436	484	483	514	428	466	461	443	484	426	485	468	489	440	470	483	522	415	431	453	457	477	439	425	443	454	469	485	420	447	471	431	432	471	446	462	460	475	
1	423	401	440	361	476	445	441	433	431	186	474	447	442	461	416	433	444	398	409	386	411	432	389	400	430	428	434	424	391	400	502	262	469	447	474	494	379	471	345	471	436	387	478	395	482	450	452	387	394	402	482	474	431	472	418	441	401	431	373	370	496	393	408	418	453	501	455	438	419	431	411	439	416	445	406	420	392	462	455	458	388	392	461	441	483	418	427	391	416	347	427	381	450	450	392	413	387	434	372	460	
2	412	410	433	354	474	492	412	385	396	80	438	477	434	453	346	455	413	393	360	387	409	414	415	363	460	445	491	382	414	400	417	83	512	479	480	438	307	438	299	506	413	401	422	272	474	460	494	463	397	395	477	441	419	443	395	500	379	437	353	248	447	441	423	421	492	455	444	428	410	410	456	407	391	435	288	369	395	417	445	444	394	426	453	476	363	387	394	449	417	358	416	376	476	447	343	386	384	423	423	377	
3	313	333	434	314	450	511	429	392	311	34	433	476	415	472	373	426	394	390	414	379	401	445	457	389	476	391	429	367	430	328	453	58	460	426	469	421	310	425	405	491	467	437	466	303	478	475	449	469	390	420	405	457	414	509	386	495	369	417	298	126	443	482	447	450	472	483	436	396	454	411	455	324	445	471	277	343	459	368	454	393	374	471	454	465	318	396	360	432	366	378	369	364	436	447	353	450	367	454	480	422	
4	246	356	332	280	445	466	403	442	407	37	437	458	435	447	393	430	359	393	469	355	372	411	337	414	473	316	433	391	458	318	479	27	455	452	451	418	292	416	348	454	393	366	449	332	436	460	474	406	472	406	326	394	415	509	392	494	351	400	376	39	440	442	448	447	484	474	430	411	444	407	491	231	398	449	303	395	445	454	430	479	434	437	480	440	332	429	363	375	380	342	384	349	418	471	411	355	370	386	395	470	
5	179	323	338	284	399	497	401	424	382	32	441	468	384	426	395	400	377	311	429	313	415	382	347	379	469	361	391	369	441	438	464	28	456	485	454	404	250	405	321	429	345	388	422	310	440	453	457	451	454	446	371	460	448	492	349	520	381	438	397	31	423	366	459	458	484	404	423	390	439	381	451	200	389	401	277	364	340	504	517	417	411	448	498	408	424	391	378	357	447	318	331	282	415	437	445	360	351	374	442	461	
6	174	306	310	298	400	500	407	416	380	21	470	473	370	381	431	384	439	309	360	288	397	430	403	339	472	377	422	411	402	450	415	19	454	484	442	363	338	378	301	450	454	418	462	339	444	440	450	478	414	453	407	467	472	480	309	478	385	462	391	18	404	399	430	440	483	437	448	409	415	381	463	223	373	456	272	323	412	466	509	479	414	416	462	498	483	399	331	321	398	351	380	312	471	395	406	432	353	372	424	458	
7	139	308	345	365	462	435	363	449	405	13	483	443	381	391	428	382	489	354	369	308	432	421	384	339	462	361	418	411	368	463	432	23	465	427	513	409	322	370	281	438	412	399	486	343	442	446	436	455	418	490	433	420	467	465	352	448	367	442	362	19	379	467	394	495	470	425	455	437	418	377	431	282	364	429	280	323	453	503	445	420	444	392	424	497	474	389	319	351	354	330	363	324	487	447	340	416	430	379	403	442	
8	145	305	398	412	455	435	447	432	371	8	455	387	387	432	324	393	392	377	438	365	393	435	408	270	434	391	365	388	405	346	417	18	479	459	423	413	291	371	310	395	397	440	472	334	442	486	410	516	432	451	428	422	457	517	327	457	409	379	330	22	429	461	411	501	440	480	383	428	450	387	467	310	320	410	324	301	367	488	433	427	414	415	460	454	473	358	322	403	388	363	359	301	511	426	398	379	424	400	391	448	
9	181	376	393	405	443	515	422	377	433	7	468	382	342	482	379	364	355	357	441	351	402	445	355	413	471	403	398	423	396	334	427	20	474	425	446	445	272	398	327	449	454	450	488	290	454	463	450	477	445	428	357	409	483	497	382	443	404	367	339	17	464	359	386	485	430	421	404	448	456	432	437	284	312	319	331	296	412	435	466	386	404	404	414	467	422	302	300	419	366	311	359	328	422	466	398	403	435	375	427	461	
