Ite	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	
0	434	271	442	396	382	414	422	399	311	398	366	440	432	380	338	389	212	438	525	230	423	380	337	165	455	440	473	380	438	465	421	445	191	271	388	446	451	236	454	444	236	418	460	409	373	387	403	391	424	431	378	490	381	400	446	415	345	444	340	382	416	371	438	421	416	297	429	402	405	259	425	460	393	394	466	434	383	363	319	355	458	369	337	389	244	422	430	388	415	421	418	288	439	478	422	335	461	378	392	418	
1	405	92	463	358	350	474	259	389	150	436	416	396	406	395	325	351	57	419	491	118	342	419	288	20	412	444	436	363	381	419	403	419	94	154	385	389	465	29	433	464	111	355	511	393	337	329	355	284	340	459	308	475	338	357	513	429	287	466	221	248	449	352	374	388	371	244	328	373	416	45	450	461	352	346	464	433	338	310	107	398	473	311	150	408	43	364	398	387	354	361	427	143	382	495	352	240	444	351	321	381	
2	460	19	415	316	355	393	107	374	79	418	421	363	388	375	304	301	9	478	447	64	307	429	240	10	405	463	456	372	260	390	268	435	34	68	399	372	425	15	356	442	36	313	420	393	339	250	398	223	315	413	322	432	287	402	466	371	234	442	152	203	387	301	366	321	369	118	367	364	361	13	443	387	367	278	400	432	378	317	12	412	450	246	47	311	17	319	390	384	321	383	385	128	363	400	379	250	443	386	343	458	
3	440	26	365	345	368	391	24	393	22	417	379	337	379	320	319	228	6	492	443	62	276	474	165	10	446	362	412	391	215	446	236	415	34	23	370	350	391	8	352	392	33	328	431	400	347	202	349	140	321	420	289	395	323	372	404	403	212	460	72	136	355	245	412	319	450	62	390	423	426	9	406	406	398	386	373	394	446	305	3	382	425	273	14	311	32	278	428	412	303	439	457	133	395	378	406	269	414	382	337	485	
4	439	15	370	342	350	386	14	381	20	449	350	261	346	328	394	160	6	439	490	60	296	437	233	9	339	291	425	324	232	445	101	382	31	33	414	311	403	13	429	301	5	339	416	409	343	185	319	99	353	387	280	444	307	398	437	379	179	452	13	154	379	241	389	317	395	57	332	371	429	9	412	453	407	383	456	413	413	302	5	368	410	299	12	323	19	268	353	432	321	361	429	108	367	440	454	301	377	380	421	491	
5	386	13	354	360	263	368	10	385	22	403	324	250	334	421	350	127	6	456	455	68	295	489	256	8	370	329	410	306	225	389	41	436	32	39	398	324	408	13	403	311	2	314	430	379	358	173	284	111	331	394	269	445	326	366	504	387	210	344	7	226	309	230	364	266	415	74	387	392	398	9	384	468	399	346	449	413	399	278	7	337	399	289	15	280	22	284	344	361	304	425	403	94	350	463	401	259	433	382	382	460	
6	399	15	382	337	289	369	8	337	31	357	362	224	302	399	365	159	6	481	494	33	277	447	213	7	353	337	366	348	185	429	25	418	31	40	411	285	467	13	381	366	1	319	426	355	371	155	354	150	381	470	237	469	297	358	468	369	201	312	7	236	300	238	359	346	423	56	382	392	412	9	427	443	428	367	402	458	356	265	7	394	417	248	17	273	21	275	371	373	278	434	415	125	365	424	392	270	387	392	356	486	
7	420	18	456	297	274	369	7	370	36	379	431	238	304	369	398	166	6	415	497	22	295	418	181	7	359	244	443	327	205	455	19	422	30	41	375	327	442	13	360	368	0	373	450	396	319	209	373	121	330	449	233	445	295	303	458	428	213	335	7	292	302	230	395	347	397	47	398	381	416	9	440	450	316	347	447	445	400	262	7	390	396	301	17	303	22	297	350	401	336	418	358	115	348	454	448	316	400	331	358	465	
8	415	18	419	341	211	368	7	435	39	358	369	218	339	432	393	185	6	394	452	9	252	402	208	7	401	278	413	329	234	386	21	481	34	36	320	366	363	13	403	392	0	389	423	397	304	158	355	129	366	397	251	424	250	307	458	308	190	328	7	217	310	206	426	271	392	60	420	351	466	9	424	465	434	311	373	448	419	246	7	333	432	323	18	287	22	240	377	418	328	438	301	132	288	428	412	310	451	365	358	507	
9	416	17	415	380	218	406	7	479	29	367	332	238	324	412	334	161	6	360	460	6	327	392	200	7	420	250	428	342	243	420	21	406	35	38	358	373	381	13	327	399	0	368	417	361	341	143	350	143	355	398	233	452	305	342	474	397	216	328	6	221	275	231	443	263	329	52	384	319	467	9	395	437	378	313	391	445	403	278	7	330	468	339	19	263	22	312	395	383	290	429	377	131	303	449	406	241	424	383	403	445	
10	455	18	424	300	225	432	7	403	27	375	398	261	359	363	364	206	6	435	410	2	258	462	181	7	411	250	436	398	276	420	19	423	34	37	385	387	454	13	335	413	0	337	408	416	328	122	358	137	329	426	214	391	294	328	462	379	203	335	6	212	273	222	415	354	383	56	364	345	390	9	399	451	384	354	389	448	428	286	7	312	451	272	19	321	21	295	356	396	258	386	394	90	312	441	425	273	388	395	375	453	
11	490	18	424	305	238	455	7	400	29	345	385	263	416	368	415	211	6	415	412	0	203	402	231	7	393	263	412	394	203	446	20	444	35	42	358	382	448	13	361	432	0	298	441	451	370	187	373	95	381	425	204	368	292	332	464	328	174	347	6	214	346	225	398	345	370	58	412	375	377	9	454	467	401	399	403	446	405	282	7	265	453	254	19	325	21	284	352	377	206	383	386	104	290	427	372	261	382	371	386	499	
12	410	18	381	276	233	448	7	367	28	368	396	307	363	292	403	179	6	435	421	0	293	431	239	7	426	260	381	376	168	438	20	411	33	44	382	351	372	13	348	428	0	310	466	428	317	212	406	112	331	428	206	432	313	265	494	367	178	324	6	192	300	325	355	368	444	54	384	362	358	9	403	463	445	350	416	422	390	235	7	258	400	221	19	324	22	292	369	390	216	343	401	97	288	375	379	230	385	386	386	465	
13	481	18	377	285	277	452	7	386	30	329	364	279	347	306	342	136	6	412	482	0	333	412	283	7	363	254	421	385	186	421	20	425	32	38	433	348	372	13	417	382	0	284	416	429	281	208	411	138	364	443	229	412	287	230	458	361	145	289	6	143	335	339	395	379	462	57	363	393	416	9	373	434	436	351	479	393	428	200	7	295	444	238	19	327	22	297	384	383	261	418	390	85	354	401	428	297	371	356	362	428	
14	442	18	392	282	300	412	7	349	29	328	419	298	267	344	390	149	6	417	445	0	261	456	263	7	398	277	400	370	194	436	20	409	32	37	456	364	395	13	421	345	0	289	328	475	344	192	404	159	333	455	318	469	309	278	455	431	160	303	6	143	283	306	396	342	442	57	426	330	424	9	432	358	383	360	460	442	427	235	7	306	402	265	19	373	22	249	322	396	296	414	416	118	368	476	383	308	401	336	410	479	
15	400	17	433	343	259	406	7	353	30	326	434	307	279	432	373	130	6	442	468	0	277	373	278	7	420	218	452	324	162	434	20	399	32	40	419	301	374	13	331	417	0	321	335	479	344	184	386	152	400	516	308	489	288	362	440	441	115	311	6	127	266	336	404	322	383	59	417	360	429	9	430	406	327	362	457	464	400	255	7	309	443	312	19	375	22	284	304	400	285	364	418	107	336	444	436	304	391	311	431	464	
16	409	18	376	358	280	401	7	417	28	279	374	276	309	401	325	135	6	423	483	0	275	405	201	7	412	256	454	346	199	430	20	432	32	38	394	305	410	13	352	362	0	288	368	397	303	118	373	128	423	423	256	440	322	349	391	396	106	282	6	130	313	274	433	379	418	58	358	343	398	9	384	475	328	332	447	449	391	231	7	367	358	328	19	363	22	329	327	360	333	364	426	115	277	414	440	233	384	386	372	420	
17	495	18	388	324	314	389	7	439	30	312	347	309	341	375	333	162	6	425	416	0	295	361	164	7	413	284	412	356	155	445	20	418	32	38	422	255	437	13	298	366	0	312	417	378	291	128	373	147	411	426	254	453	302	357	407	375	76	337	6	120	338	274	353	388	421	57	334	290	394	9	457	442	349	394	421	424	433	290	7	386	408	293	19	356	22	324	347	378	375	381	373	106	317	460	415	235	355	301	338	436	
18	483	18	335	337	314	390	7	376	29	329	321	257	369	309	325	175	6	419	465	0	272	434	206	7	390	326	425	393	179	489	20	450	31	39	402	295	456	13	317	351	0	292	441	417	335	135	426	159	391	477	225	406	288	376	406	418	59	347	6	109	332	277	378	343	414	57	399	370	436	9	426	414	389	437	408	423	399	254	7	372	358	264	19	416	22	305	364	399	348	438	414	113	309	442	398	259	376	375	351	467	
19	438	18	300	333	359	393	7	389	30	309	324	280	319	351	329	141	6	430	451	0	274	444	260	7	357	313	387	362	187	463	20	405	32	38	405	275	516	13	319	318	0	321	421	420	344	191	387	143	408	437	255	409	315	331	394	438	44	353	6	121	253	266	394	311	353	57	369	321	388	9	367	438	294	382	390	427	417	263	7	402	406	216	19	358	22	253	374	348	326	407	382	117	256	431	356	266	408	366	343	459	
20	421	18	316	351	321	335	7	422	29	352	371	288	294	369	370	159	6	384	409	0	252	442	238	7	352	309	368	317	189	443	20	448	33	36	367	299	428	13	342	369	0	388	368	400	330	267	316	119	394	465	200	408	305	352	441	387	38	364	6	145	273	277	408	267	357	58	330	360	374	9	419	448	337	366	408	391	423	272	7	369	435	228	19	307	21	248	413	391	291	383	374	137	258	412	355	302	379	377	359	471	
21	452	18	334	342	338	337	7	441	30	304	405	310	353	377	415	180	6	390	401	0	272	479	205	7	372	328	382	265	203	475	20	406	34	39	376	277	465	13	329	353	0	375	304	416	345	264	304	117	392	421	203	406	322	336	402	392	34	297	6	136	310	241	359	296	330	58	344	309	349	9	432	495	375	401	457	459	391	244	7	369	438	229	19	336	22	259	372	316	283	305	366	136	282	405	434	225	331	339	324	513	
22	400	18	358	289	347	338	7	401	28	287	392	332	386	428	429	166	6	424	469	0	285	457	230	7	390	307	380	326	251	470	20	456	33	40	426	247	427	13	399	368	0	371	338	384	299	261	300	106	398	497	187	419	299	391	388	418	39	333	6	101	351	223	392	371	355	57	300	322	424	9	420	502	383	367	479	413	428	241	7	337	442	282	19	362	22	238	416	343	331	371	425	90	325	421	453	234	395	343	341	479	
23	403	18	390	320	318	327	7	357	32	363	336	300	363	426	346	153	6	375	463	0	270	448	191	7	401	345	365	370	198	370	20	490	34	36	385	228	367	13	389	409	0	330	353	341	279	203	354	135	387	479	239	388	260	388	375	420	41	365	6	88	300	182	427	349	350	57	328	298	431	9	471	446	346	398	473	384	405	171	7	356	422	275	19	375	22	309	395	405	348	398	397	77	304	418	420	220	422	360	298	449	
