Ite	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16	f17	f18	f19	f20	f21	f22	f23	f24	f25	f26	f27	f28	f29	f30	f31	f32	f33	f34	f35	f36	f37	f38	f39	f40	f41	f42	f43	f44	f45	f46	f47	f48	f49	f50	f51	f52	f53	f54	f55	f56	f57	f58	f59	f60	f61	f62	f63	f64	f65	f66	f67	f68	f69	f70	f71	f72	f73	f74	f75	f76	f77	f78	f79	f80	f81	f82	f83	f84	f85	f86	f87	f88	f89	f90	f91	f92	f93	f94	f95	f96	f97	f98	f99	
0	279	311	336	280	249	308	303	292	257	342	281	249	221	266	247	250	235	245	255	240	306	252	305	264	186	262	270	240	263	322	283	238	255	205	211	272	280	206	247	268	278	307	300	266	264	288	264	255	281	281	259	311	243	202	223	257	202	264	217	276	265	294	204	292	243	269	213	201	267	297	221	272	321	298	230	278	256	263	283	199	234	270	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1	155	201	311	202	51	256	286	145	51	343	158	155	61	92	78	63	75	101	135	142	118	146	147	48	66	57	126	46	125	316	175	119	131	69	56	97	114	33	139	118	128	259	193	42	136	98	118	104	230	40	115	263	66	61	85	230	65	108	52	61	163	193	102	225	91	102	79	23	181	69	29	118	201	296	73	52	37	99	183	62	86	129	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2	47	202	241	138	4	227	306	84	18	361	81	117	1	12	5	10	9	15	53	34	13	60	39	0	5	7	50	1	21	254	27	25	80	22	13	11	14	9	6	15	36	279	143	6	145	18	9	24	250	1	25	169	8	10	12	130	18	18	13	3	84	143	29	226	3	43	27	3	70	19	5	35	143	271	11	3	4	45	61	5	8	35	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3	10	192	272	54	0	213	284	33	0	355	13	17	2	0	0	0	6	4	2	4	0	21	20	4	2	8	19	0	4	264	0	15	15	7	19	0	1	6	0	3	9	242	54	2	170	0	1	5	257	0	1	171	0	2	0	53	11	1	1	0	9	53	13	171	0	4	5	1	9	6	2	7	106	297	9	4	1	18	8	0	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4	5	206	222	16	0	205	249	7	0	292	6	3	0	0	0	0	0	0	2	0	0	0	0	5	0	1	11	0	0	262	0	8	4	1	6	1	6	5	0	0	2	257	37	3	133	2	0	0	218	0	0	190	0	6	0	7	4	1	0	0	9	19	14	191	1	2	0	0	10	1	1	0	125	321	4	1	0	15	3	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	1	176	223	6	1	234	318	0	0	258	3	1	0	0	1	0	3	2	0	0	0	0	0	1	3	0	12	0	0	300	0	4	1	0	5	1	13	3	0	3	0	258	32	3	119	1	0	0	237	0	0	268	0	6	0	3	2	1	0	0	2	25	11	159	0	0	0	0	2	2	1	0	197	294	2	0	0	6	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	1	207	246	1	0	188	308	0	0	261	8	0	0	0	0	0	3	0	2	0	0	0	0	1	1	1	7	0	0	289	0	5	1	0	6	0	12	0	0	3	0	286	34	0	111	1	0	0	257	0	0	270	0	7	0	0	9	0	0	0	0	23	14	193	0	1	0	0	8	2	0	0	189	348	1	0	0	10	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	0	225	236	0	0	195	306	0	0	334	4	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	8	0	0	305	0	6	1	1	11	0	9	0	1	1	0	270	13	3	155	0	0	0	268	0	0	184	0	4	0	0	6	0	0	0	0	13	6	179	0	0	0	0	7	1	0	0	193	333	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0	222	242	0	0	215	262	0	0	340	5	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	8	0	0	311	0	4	0	0	3	0	1	0	0	1	0	310	10	4	166	0	0	0	272	0	0	149	0	6	0	0	8	0	0	0	0	14	7	170	0	0	0	0	3	4	0	0	157	289	0	0	0	19	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	0	193	276	1	0	212	271	0	0	288	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	305	0	2	0	0	7	0	3	0	0	2	0	265	7	1	138	1	0	0	254	0	0	209	0	4	0	0	5	0	0	0	0	18	4	198	0	1	0	0	1	2	0	0	176	278	0	0	0	12	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
