#Run command:
#./bin/aff3ct --sim-type "BFER" --cde-type "POLAR" -m "0.5" -M "3.81" --sim-snr-step "0.1" -K "1024" -N "2048" --src-type "AZCW" --chn-type "AWGN_FAST" --dec-type "SC" --dec-simd "INTRA" --dec-polar-nodes "{R0,R0L,R1,REP,REPL,SPC_4}" --cde-fb-gen-method "GA" -t "4" --sim-pyber "L=1" 
#Curve name:
#L=1
# -------------------------------------------------
# ---- A FAST FORWARD ERROR CORRECTION TOOL >> ----
# -------------------------------------------------
# Parameters:
# * Simulation ------------------------------------
#    ** Type                    = BFER
#    ** SNR min (m)             = 0.500000 dB
#    ** SNR max (M)             = 3.810000 dB
#    ** SNR step (s)            = 0.100000 dB
#    ** Type of bits            = int (32 bits)
#    ** Type of reals           = float (32 bits)
#    ** Inter frame level       = 1
#    ** Seed                    = 0
#    ** Multi-threading (t)     = 4 thread(s)
# * Code ------------------------------------------
#    ** Type                    = POLAR
#    ** Info. bits (K)          = 1024
#    ** Codeword size (N)       = 2048
#    ** Coset approach (c)      = off
#    ** Sigma for code gen.     = adaptative
#    ** Frozen bits gen. method = GA
# * Source ----------------------------------------
#    ** Type                    = AZCW
# * Encoder ---------------------------------------
#    ** Type                    = AZCW
#    ** Systematic encoding     = on
# * Modulator -------------------------------------
#    ** Type                    = BPSK
#    ** Bits per symbol         = 1
#    ** Sampling factor         = 1
# * Channel ---------------------------------------
#    ** Type                    = AWGN_FAST
#    ** Domain                  = LLR
# * Demodulator -----------------------------------
#    ** Sigma square            = on
#    ** Max type                = unused
# * Decoder ---------------------------------------
#    ** Type (D)                = SC
#    ** Implementation          = FAST
#    ** SIMD strategy           = INTRA
#    ** Polar node types        = {R0,R0L,R1,REP,REPL,SPC_4}
# * Monitor ---------------------------------------
#    ** Frame error count (e)   = 100
#    ** Bad frames tracking     = off
#    ** Bad frames replay       = off
#
# The simulation is running...
# ----------------------------------------------------------------------||--------------------------------||---------------------
#       Bit Error Rate (BER) and Frame Error Rate (FER) depending       ||     Decoder throughput and     ||  Global throughput  
#                    on the Signal Noise Ratio (SNR)                    ||      latency (per thread)      ||  and elapsed time   
# ----------------------------------------------------------------------||--------------------------------||---------------------
# -------|-------|----------|----------|----------|----------|----------||----------|----------|----------||----------|----------
   Es/N0 | Eb/N0 |      FRA |       BE |       FE |      BER |      FER ||     CTHR |     ITHR |  LATENCY || SIM_CTHR |    ET/RT 
#   (dB) |  (dB) |          |          |          |          |          ||   (Mb/s) |   (Mb/s) |     (us) ||   (Mb/s) | (hhmmss) 
# -------|-------|----------|----------|----------|----------|----------||----------|----------|----------||----------|----------
   -2.51 |  0.50 |      103 |    17976 |      103 | 1.70e-01 | 1.00e+00 ||   230.77 |   115.39 |     8.87 ||    81.03 | 00h00'00  
   -2.41 |  0.60 |      107 |    16326 |      103 | 1.49e-01 | 9.63e-01 ||   219.53 |   109.76 |     9.33 ||    61.00 | 00h00'00  
   -2.31 |  0.70 |      111 |    14290 |      103 | 1.26e-01 | 9.28e-01 ||   234.46 |   117.23 |     8.73 ||    73.41 | 00h00'00  
   -2.21 |  0.80 |      108 |    12829 |      103 | 1.16e-01 | 9.54e-01 ||   227.50 |   113.75 |     9.00 ||    96.62 | 00h00'00  
   -2.11 |  0.90 |      121 |    12209 |      103 | 9.85e-02 | 8.51e-01 ||   231.73 |   115.87 |     8.84 ||   106.67 | 00h00'00  
   -2.01 |  1.00 |      135 |    10135 |      103 | 7.33e-02 | 7.63e-01 ||   245.08 |   122.54 |     8.36 ||   116.97 | 00h00'00  
   -1.91 |  1.10 |      163 |     9730 |      101 | 5.83e-02 | 6.20e-01 ||   248.30 |   124.15 |     8.25 ||   137.01 | 00h00'00  
   -1.81 |  1.20 |      179 |     7908 |      102 | 4.31e-02 | 5.70e-01 ||   251.48 |   125.74 |     8.14 ||   146.31 | 00h00'00  
   -1.71 |  1.30 |      196 |     7698 |      102 | 3.84e-02 | 5.20e-01 ||   228.22 |   114.11 |     8.97 ||   148.69 | 00h00'00  
   -1.61 |  1.40 |      243 |     7281 |      102 | 2.93e-02 | 4.20e-01 ||   231.45 |   115.73 |     8.85 ||   167.92 | 00h00'00  
   -1.51 |  1.50 |      385 |     6684 |      102 | 1.70e-02 | 2.65e-01 ||   230.23 |   115.12 |     8.90 ||   212.05 | 00h00'00  
   -1.41 |  1.60 |      494 |     5284 |      100 | 1.04e-02 | 2.02e-01 ||   210.77 |   105.38 |     9.72 ||   218.65 | 00h00'00  
   -1.31 |  1.70 |      669 |     5193 |      100 | 7.58e-03 | 1.49e-01 ||   208.25 |   104.12 |     9.83 ||   242.34 | 00h00'00  
   -1.21 |  1.80 |     1111 |     5203 |      101 | 4.57e-03 | 9.09e-02 ||   187.71 |    93.85 |    10.91 ||   250.83 | 00h00'00  
