81
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 1.85 Mb/s', 'avg_lat 933.57 us', 'max_lat 12677.76 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 10.36 Mb/s', 'avg_lat 166.36 us', 'max_lat 11845.98 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 6.34 Mb/s', 'avg_lat 271.70 us', 'max_lat 12690.78 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 1.74 Mb/s', 'avg_lat 987.93 us', 'max_lat 13064.22 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 39.87 Mb/s', 'avg_lat 43.22 us', 'max_lat 1883.88 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 27.53 Mb/s', 'avg_lat 62.58 us', 'max_lat 1166.68 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 1.65 Mb/s', 'avg_lat 1044.81 us', 'max_lat 1582.31 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 49.45 Mb/s', 'avg_lat 34.84 us', 'max_lat 914.07 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 47.15 Mb/s', 'avg_lat 36.54 us', 'max_lat 1852.63 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 1.84 Mb/s', 'avg_lat 936.75 us', 'max_lat 1535.96 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 9.62 Mb/s', 'avg_lat 179.10 us', 'max_lat 2383.88 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 6.06 Mb/s', 'avg_lat 284.10 us', 'max_lat 1701.58 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 1.76 Mb/s', 'avg_lat 981.73 us', 'max_lat 1520.33 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 31.65 Mb/s', 'avg_lat 54.44 us', 'max_lat 1917.73 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 23.40 Mb/s', 'avg_lat 73.63 us', 'max_lat 1283.87 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 1.70 Mb/s', 'avg_lat 1013.56 us', 'max_lat 1570.85 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 37.16 Mb/s', 'avg_lat 46.37 us', 'max_lat 906.78 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 36.34 Mb/s', 'avg_lat 47.41 us', 'max_lat 1704.71 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 1.69 Mb/s', 'avg_lat 1017.95 us', 'max_lat 1601.58 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 9.14 Mb/s', 'avg_lat 188.57 us', 'max_lat 2115.65 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 5.56 Mb/s', 'avg_lat 309.95 us', 'max_lat 1945.34 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 1.62 Mb/s', 'avg_lat 1061.17 us', 'max_lat 1613.04 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 27.33 Mb/s', 'avg_lat 63.04 us', 'max_lat 2115.65 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 20.66 Mb/s', 'avg_lat 83.40 us', 'max_lat 1278.14 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 1.55 Mb/s', 'avg_lat 1108.24 us', 'max_lat 1608.35 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 30.93 Mb/s', 'avg_lat 55.71 us', 'max_lat 926.05 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 29.92 Mb/s', 'avg_lat 57.58 us', 'max_lat 1332.31 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.95 Mb/s', 'avg_lat 1820.41 us', 'max_lat 2363.05 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 9.48 Mb/s', 'avg_lat 181.77 us', 'max_lat 3913.07 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 3.51 Mb/s', 'avg_lat 491.52 us', 'max_lat 2654.20 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.90 Mb/s', 'avg_lat 1917.96 us', 'max_lat 2445.86 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 39.79 Mb/s', 'avg_lat 43.31 us', 'max_lat 1943.77 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 19.03 Mb/s', 'avg_lat 90.54 us', 'max_lat 2144.82 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.84 Mb/s', 'avg_lat 2039.89 us', 'max_lat 2601.07 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 48.87 Mb/s', 'avg_lat 35.26 us', 'max_lat 902.09 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 44.40 Mb/s', 'avg_lat 38.81 us', 'max_lat 2228.15 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.92 Mb/s', 'avg_lat 1877.49 us', 'max_lat 2434.40 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 8.80 Mb/s', 'avg_lat 195.70 us', 'max_lat 4405.78 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 3.30 Mb/s', 'avg_lat 521.54 us', 'max_lat 2710.45 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.88 Mb/s', 'avg_lat 1962.70 us', 'max_lat 2466.18 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 31.79 Mb/s', 'avg_lat 54.20 us', 'max_lat 1906.27 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 16.85 Mb/s', 'avg_lat 102.26 us', 'max_lat 2525.55 us']
['-N 2048 -K 1723', '-L 16', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.85 Mb/s', 'avg_lat 2037.65 us', 'max_lat 2575.55 us']
