81
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.55 Mb/s', 'avg_lat 3156.03 us', 'max_lat 7966.76 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 3.26 Mb/s', 'avg_lat 528.86 us', 'max_lat 6705.29 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 1.97 Mb/s', 'avg_lat 875.64 us', 'max_lat 4480.26 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.53 Mb/s', 'avg_lat 3274.96 us', 'max_lat 4700.06 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 13.94 Mb/s', 'avg_lat 123.56 us', 'max_lat 6195.39 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 9.41 Mb/s', 'avg_lat 183.16 us', 'max_lat 4600.06 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.50 Mb/s', 'avg_lat 3449.43 us', 'max_lat 5018.29 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 18.58 Mb/s', 'avg_lat 92.72 us', 'max_lat 2879.72 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 17.37 Mb/s', 'avg_lat 99.20 us', 'max_lat 3856.82 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.59 Mb/s', 'avg_lat 2902.83 us', 'max_lat 4260.99 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 3.20 Mb/s', 'avg_lat 537.92 us', 'max_lat 7066.23 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 1.96 Mb/s', 'avg_lat 877.41 us', 'max_lat 4628.18 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.57 Mb/s', 'avg_lat 3043.50 us', 'max_lat 4590.68 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 11.21 Mb/s', 'avg_lat 153.75 us', 'max_lat 5924.55 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 8.25 Mb/s', 'avg_lat 208.89 us', 'max_lat 3570.36 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.55 Mb/s', 'avg_lat 3151.74 us', 'max_lat 4665.68 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 13.78 Mb/s', 'avg_lat 125.00 us', 'max_lat 2746.91 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 12.99 Mb/s', 'avg_lat 132.65 us', 'max_lat 3517.23 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.51 Mb/s', 'avg_lat 3398.10 us', 'max_lat 4891.21 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 2.76 Mb/s', 'avg_lat 624.83 us', 'max_lat 6640.71 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 1.71 Mb/s', 'avg_lat 1007.49 us', 'max_lat 4974.02 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.48 Mb/s', 'avg_lat 3552.86 us', 'max_lat 4814.64 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 8.32 Mb/s', 'avg_lat 207.12 us', 'max_lat 6464.14 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 6.56 Mb/s', 'avg_lat 262.75 us', 'max_lat 5259.96 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.47 Mb/s', 'avg_lat 3680.51 us', 'max_lat 5137.56 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 9.49 Mb/s', 'avg_lat 181.63 us', 'max_lat 3039.62 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 9.40 Mb/s', 'avg_lat 183.38 us', 'max_lat 4086.51 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 0.28 Mb/s', 'avg_lat 6257.43 us', 'max_lat 7855.82 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 2.90 Mb/s', 'avg_lat 594.28 us', 'max_lat 13049.12 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 1.06 Mb/s', 'avg_lat 1627.94 us', 'max_lat 7948.53 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 0.26 Mb/s', 'avg_lat 6549.89 us', 'max_lat 7869.37 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 13.95 Mb/s', 'avg_lat 123.48 us', 'max_lat 6349.03 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 6.22 Mb/s', 'avg_lat 277.16 us', 'max_lat 8077.70 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 0.25 Mb/s', 'avg_lat 6889.62 us', 'max_lat 8301.14 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 18.71 Mb/s', 'avg_lat 92.08 us', 'max_lat 2976.60 us']
