81
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 9.20 Mb/s', 'avg_lat 187.18 us', 'max_lat 355.22 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 52.42 Mb/s', 'avg_lat 32.87 us', 'max_lat 482.95 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 31.66 Mb/s', 'avg_lat 54.43 us', 'max_lat 341.14 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 8.73 Mb/s', 'avg_lat 197.25 us', 'max_lat 346.04 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 251.31 Mb/s', 'avg_lat 6.86 us', 'max_lat 435.46 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 155.56 Mb/s', 'avg_lat 11.08 us', 'max_lat 330.52 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 7.92 Mb/s', 'avg_lat 217.59 us', 'max_lat 403.60 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 348.53 Mb/s', 'avg_lat 4.94 us', 'max_lat 408.23 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 329.30 Mb/s', 'avg_lat 5.23 us', 'max_lat 336.87 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 9.63 Mb/s', 'avg_lat 178.85 us', 'max_lat 338.55 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 52.31 Mb/s', 'avg_lat 32.94 us', 'max_lat 564.38 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 32.30 Mb/s', 'avg_lat 53.35 us', 'max_lat 335.33 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 9.20 Mb/s', 'avg_lat 187.37 us', 'max_lat 338.69 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 250.94 Mb/s', 'avg_lat 6.87 us', 'max_lat 421.16 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 161.23 Mb/s', 'avg_lat 10.69 us', 'max_lat 323.94 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 8.76 Mb/s', 'avg_lat 196.58 us', 'max_lat 418.22 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 329.99 Mb/s', 'avg_lat 5.22 us', 'max_lat 392.97 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 314.99 Mb/s', 'avg_lat 5.47 us', 'max_lat 350.82 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 9.22 Mb/s', 'avg_lat 186.87 us', 'max_lat 335.62 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 48.84 Mb/s', 'avg_lat 35.28 us', 'max_lat 659.95 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 30.76 Mb/s', 'avg_lat 56.02 us', 'max_lat 322.95 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 8.91 Mb/s', 'avg_lat 193.42 us', 'max_lat 348.65 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 187.20 Mb/s', 'avg_lat 9.20 us', 'max_lat 482.64 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 134.07 Mb/s', 'avg_lat 12.85 us', 'max_lat 332.02 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 8.46 Mb/s', 'avg_lat 203.77 us', 'max_lat 362.97 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 222.12 Mb/s', 'avg_lat 7.76 us', 'max_lat 203.26 us']
