['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 9.69 Mb/s', 'avg_lat 177.73 us', 'max_lat 779.48 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 55.66 Mb/s', 'avg_lat 30.95 us', 'max_lat 377.04 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 34.15 Mb/s', 'avg_lat 50.46 us', 'max_lat 404.14 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 9.18 Mb/s', 'avg_lat 187.61 us', 'max_lat 400.31 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 277.62 Mb/s', 'avg_lat 6.21 us', 'max_lat 374.42 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 170.52 Mb/s', 'avg_lat 10.10 us', 'max_lat 607.21 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 8.42 Mb/s', 'avg_lat 204.74 us', 'max_lat 461.91 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 375.62 Mb/s', 'avg_lat 4.59 us', 'max_lat 381.43 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 351.70 Mb/s', 'avg_lat 4.90 us', 'max_lat 244.21 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 10.06 Mb/s', 'avg_lat 171.33 us', 'max_lat 387.03 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 54.83 Mb/s', 'avg_lat 31.42 us', 'max_lat 470.39 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 34.56 Mb/s', 'avg_lat 49.85 us', 'max_lat 658.59 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 9.55 Mb/s', 'avg_lat 180.42 us', 'max_lat 428.59 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 260.95 Mb/s', 'avg_lat 6.60 us', 'max_lat 366.86 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 170.23 Mb/s', 'avg_lat 10.12 us', 'max_lat 232.53 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 9.20 Mb/s', 'avg_lat 187.27 us', 'max_lat 693.75 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 345.74 Mb/s', 'avg_lat 4.98 us', 'max_lat 394.64 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 331.56 Mb/s', 'avg_lat 5.20 us', 'max_lat 288.39 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 8.77 Mb/s', 'avg_lat 196.58 us', 'max_lat 845.40 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 48.84 Mb/s', 'avg_lat 35.28 us', 'max_lat 443.11 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 30.51 Mb/s', 'avg_lat 56.47 us', 'max_lat 486.66 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 8.66 Mb/s', 'avg_lat 198.88 us', 'max_lat 453.07 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 211.07 Mb/s', 'avg_lat 8.16 us', 'max_lat 412.15 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 140.77 Mb/s', 'avg_lat 12.24 us', 'max_lat 247.93 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 8.07 Mb/s', 'avg_lat 213.43 us', 'max_lat 779.87 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 264.32 Mb/s', 'avg_lat 6.52 us', 'max_lat 209.32 us']
