81
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 2.03 Mb/s', 'avg_lat 848.76 us', 'max_lat 1439.08 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 11.25 Mb/s', 'avg_lat 153.10 us', 'max_lat 2290.17 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 6.75 Mb/s', 'avg_lat 255.43 us', 'max_lat 1444.92 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 1.85 Mb/s', 'avg_lat 929.54 us', 'max_lat 1423.13 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 44.20 Mb/s', 'avg_lat 38.99 us', 'max_lat 1764.71 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 30.23 Mb/s', 'avg_lat 56.99 us', 'max_lat 1421.79 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 1.79 Mb/s', 'avg_lat 960.86 us', 'max_lat 1684.71 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 56.77 Mb/s', 'avg_lat 30.35 us', 'max_lat 801.63 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 55.39 Mb/s', 'avg_lat 31.11 us', 'max_lat 1318.38 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 2.01 Mb/s', 'avg_lat 855.43 us', 'max_lat 1416.21 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 10.63 Mb/s', 'avg_lat 162.13 us', 'max_lat 1911.38 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 6.55 Mb/s', 'avg_lat 262.88 us', 'max_lat 1274.58 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 1.86 Mb/s', 'avg_lat 925.50 us', 'max_lat 1479.54 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 37.31 Mb/s', 'avg_lat 46.18 us', 'max_lat 1744.54 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 27.15 Mb/s', 'avg_lat 63.47 us', 'max_lat 1278.38 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 1.82 Mb/s', 'avg_lat 949.10 us', 'max_lat 1489.63 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 46.20 Mb/s', 'avg_lat 37.29 us', 'max_lat 794.79 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 43.94 Mb/s', 'avg_lat 39.21 us', 'max_lat 1294.17 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 1.83 Mb/s', 'avg_lat 940.77 us', 'max_lat 1534.83 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 9.87 Mb/s', 'avg_lat 174.58 us', 'max_lat 2317.71 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 6.03 Mb/s', 'avg_lat 285.88 us', 'max_lat 1579.50 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 1.75 Mb/s', 'avg_lat 982.90 us', 'max_lat 1616.92 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 30.67 Mb/s', 'avg_lat 56.18 us', 'max_lat 1897.50 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 23.48 Mb/s', 'avg_lat 73.38 us', 'max_lat 1528.29 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 1.66 Mb/s', 'avg_lat 1038.91 us', 'max_lat 1663.75 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 36.28 Mb/s', 'avg_lat 47.49 us', 'max_lat 904.04 us']
['-N 2048 -K 1723', '-L 8', '-p 32', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 35.64 Mb/s', 'avg_lat 48.35 us', 'max_lat 1499.92 us']
['-N 2048 -K 1723', '-L 16', '-p 8', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 1.01 Mb/s', 'avg_lat 1704.25 us', 'max_lat 2248.96 us']
