81
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 1.12 Mb/s', 'avg_lat 1537.10 us', 'max_lat 2649.83 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 6.08 Mb/s', 'avg_lat 283.18 us', 'max_lat 4316.67 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 3.5 -M 3.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 3.72 Mb/s', 'avg_lat 462.95 us', 'max_lat 2356.38 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type SCL', 'thr 1.05 Mb/s', 'avg_lat 1641.36 us', 'max_lat 2991.96 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL', 'thr 22.94 Mb/s', 'avg_lat 75.10 us', 'max_lat 3459.08 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.0 -M 4.0', '--dec-type ASCL --dec-partial-adaptive', 'thr 16.08 Mb/s', 'avg_lat 107.15 us', 'max_lat 2017.04 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type SCL', 'thr 1.00 Mb/s', 'avg_lat 1715.30 us', 'max_lat 2567.92 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL', 'thr 28.91 Mb/s', 'avg_lat 59.60 us', 'max_lat 1526.83 us']
['-N 2048 -K 1723', '-L 8', '-p 8', '-m 4.5 -M 4.5', '--dec-type ASCL --dec-partial-adaptive', 'thr 26.56 Mb/s', 'avg_lat 64.87 us', 'max_lat 2122.83 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 3.5 -M 3.5', '--dec-type SCL', 'thr 1.03 Mb/s', 'avg_lat 1673.13 us', 'max_lat 2831.83 us']
['-N 2048 -K 1723', '-L 8', '-p 16', '-m 3.5 -M 3.5', '--dec-type ASCL', 'thr 5.43 Mb/s', 'avg_lat 317.05 us', 'max_lat 3879.79 us']
