#"SCL_{cpy} L=8 CRC_{32} SPC_{4} p=8"
# ./bin/aff3ct --sim-type BFER --cde-type POLAR -m 2.5 -M 2.5 --src-type AZCW --chn-type AWGN_FAST --dec-simd INTRA -L 8 --crc-type FAST --crc-poly 32-GZIP -t 1 --dec-polar-nodes {R0,R0L,R1,REP,REPL,SPC_4} -p 8 --cde-fb-gen-method GA --dec-type SCL
N 	 K 	 R 	 Eb/N0 	 CTHR 	 ITHR
128 	 64 	 0.5 	 2.50 	 8.10 	 4.05
256 	 128 	 0.5 	 2.50 	 9.16 	 4.58
512 	 256 	 0.5 	 2.50 	 9.45 	 4.73
1024 	 512 	 0.5 	 2.50 	 9.89 	 4.94
2048 	 1024 	 0.5 	 2.50 	 10.67 	 5.33
4096 	 2048 	 0.5 	 2.50 	 10.73 	 5.36
8192 	 4096 	 0.5 	 2.50 	 11.24 	 5.62
16384 	 8192 	 0.5 	 2.50 	 10.60 	 5.30
32768 	 16384 	 0.5 	 2.50 	 8.76 	 4.38
65536 	 32768 	 0.5 	 2.50 	 7.00 	 3.50
131072 	 65536 	 0.5 	 2.50 	 5.01 	 2.50
262144 	 131072 	 0.5 	 2.50 	 2.01 	 1.01
524288 	 262144 	 0.5 	 2.50 	 1.06 	 0.53
1048576 	 524288 	 0.5 	 2.50 	 0.56 	 0.28
2097152 	 1048576 	 0.5 	 2.50 	 0.22 	 0.11
4194304 	 2097152 	 0.5 	 2.50 	 0.09 	 0.05
