#"SCL_{ptr} L=8 CRC_{32} SPC_{4} p=32"
# ./bin/aff3ct --sim-type BFER --cde-type POLAR -m 2.5 -M 2.5 --src-type AZCW --chn-type AWGN_FAST --dec-simd INTRA -L 8 --crc-type FAST --crc-poly 32-GZIP -t 1 --dec-polar-nodes {R0,R0L,R1,REP,REPL,SPC_4} -p 32 --cde-fb-gen-method GA --dec-type SCL_MEM
N 	 K 	 R 	 Eb/N0 	 CTHR 	 ITHR
128 	 64 	 0.5 	 2.50 	 7.61 	 3.80
256 	 128 	 0.5 	 2.50 	 8.13 	 4.07
512 	 256 	 0.5 	 2.50 	 8.54 	 4.27
1024 	 512 	 0.5 	 2.50 	 9.06 	 4.53
2048 	 1024 	 0.5 	 2.50 	 10.02 	 5.01
4096 	 2048 	 0.5 	 2.50 	 10.54 	 5.27
8192 	 4096 	 0.5 	 2.50 	 10.82 	 5.41
16384 	 8192 	 0.5 	 2.50 	 11.19 	 5.60
32768 	 16384 	 0.5 	 2.50 	 11.51 	 5.75
65536 	 32768 	 0.5 	 2.50 	 11.50 	 5.75
131072 	 65536 	 0.5 	 2.50 	 11.06 	 5.53
262144 	 131072 	 0.5 	 2.50 	 10.57 	 5.29
524288 	 262144 	 0.5 	 2.50 	 10.20 	 5.10
1048576 	 524288 	 0.5 	 2.50 	 9.56 	 4.78
2097152 	 1048576 	 0.5 	 2.50 	 8.75 	 4.37
4194304 	 2097152 	 0.5 	 2.50 	 8.06 	 4.03
