SNR	BER	FER	
%0.00 8.58e-02 7.50e-01
%0.10 4.93e-02 4.98e-01
%0.20 2.50e-02 2.71e-01
%0.30 1.12e-02 1.28e-01
%0.40 3.71e-03 5.05e-02
%0.50 1.04e-03 1.40e-02
%0.60 2.66e-04 3.75e-03
%0.70 4.34e-05 6.28e-04
%0.80 5.82e-06 1.18e-04
0.00 8.35e-02 7.01e-01
0.10 5.46e-02 5.25e-01
0.20 2.50e-02 2.67e-01
0.30 1.22e-02 1.40e-01
0.40 4.15e-03 5.31e-02
0.50 1.00e-03 1.35e-02
0.60 2.38e-04 3.64e-03
0.70 5.07e-05 6.84e-04
0.80 5.82e-06 1.18e-04
0.90 6.04e-07 1.40e-05
1.00 6.91e-08 2.73e-06
1.10 2.78e-08 1.68e-06
1.20 1.53e-08 8.45e-07

