%   0.75 |    85925 |    25307 |      100 | 1.65e-04 | 1.16e-03 ||     0.38 |     0.13 | 14124.85 ||     0.35 | 00h21'43  
R	NNC	IIC	NIC	INC	NNE	IIE	NIE	INE
0	0.0922141	0.0908408	0.0104428	0.00964126	0.00211883	0.00262332	0	0
1	0.00606502	0.00445067	0.0135314	0.0128195	0.000706278	0.000610987	2.24215e-05	1.68161e-05
2	0.0575841	0.0624664	0.0161827	0.0154372	0.00303251	0.00331278	0.000123318	8.96861e-05
3	0.00998318	0.00766816	0.0184753	0.0173823	0.00129484	0.00128924	0.000229821	0.000179372
4	0.0490975	0.0534193	0.0203419	0.0195684	0.00399103	0.00402466	0.000409193	0.00029148
5	0.0138004	0.0118722	0.023935	0.0227074	0.00232063	0.0021917	0.000706278	0.000627803
6	0.0469675	0.0490695	0.0259809	0.0242545	0.00539798	0.00553812	0.000919283	0.000818386
7	0.0191648	0.0175448	0.0292321	0.0273935	0.00368834	0.00352018	0.00145179	0.00133969
8	0.0492657	0.0514238	0.0330549	0.0315807	0.00698431	0.00671525	0.00211323	0.00190583
9	0.0278307	0.0261715	0.037046	0.0349439	0.00557175	0.00520179	0.00306054	0.0026065
10	0.0544002	0.0558184	0.0420404	0.0395011	0.00978139	0.00997197	0.00473655	0.00413117
11	0.0417937	0.0388845	0.0492377	0.0450897	0.00883969	0.00895179	0.00664238	0.00589686
12	0.0627859	0.0639518	0.0549439	0.0508576	0.0134641	0.013296	0.00920404	0.00838005
13	0.05338	0.05162	0.0595908	0.0563117	0.0117096	0.0120852	0.0111883	0.00996076
14	0.0644451	0.065639	0.0631222	0.0593666	0.0152803	0.0152747	0.0133744	0.0120404
15	0.0548767	0.0523935	0.0619955	0.0618161	0.0124439	0.0129148	0.0148767	0.0138789
16	0.0510706	0.0515471	0.0599103	0.060185	0.0128587	0.0122422	0.0143217	0.0150561
17	0.0376738	0.0372646	0.0532455	0.0561267	0.00886211	0.00924888	0.0136939	0.0138285
18	0.0279484	0.0279821	0.0453139	0.0492152	0.00735426	0.0068722	0.0124103	0.0123823
19	0.0177298	0.0171469	0.036491	0.0403307	0.00409193	0.00438341	0.00961883	0.0107848
20	0.00945628	0.0100448	0.0286547	0.0327803	0.00279709	0.00238789	0.00753924	0.00854821
21	0.00469731	0.0048991	0.0210482	0.0244339	0.0011491	0.00105381	0.00543161	0.00632287
22	0.00200673	0.00201794	0.0160594	0.0184081	0.000639013	0.000560538	0.00415359	0.00462444
23	0.000773543	0.000790359	0.0112612	0.0134809	0.000168161	0.00021861	0.00258408	0.00336323
24	0.000274664	0.000347534	0.00789798	0.00983744	5.60538e-05	0.000106502	0.0019843	0.00225897
25	8.40807e-05	9.52915e-05	0.00593049	0.00728139	5.60538e-06	1.68161e-05	0.00133408	0.00196749
26	1.68161e-05	1.12108e-05	0.00427691	0.00529709	5.60538e-06	0	0.000896861	0.00111547
27	0	5.60538e-06	0.00264013	0.00383408	0	0	0.000734305	0.000835202
28	0	0	0.00181054	0.00230381	0	0	0.000420404	0.000633408
29	0	0	0.000919283	0.00159753	0	0	0.000241031	0.000325112
30	0	0	0.000588565	0.00088565	0	0	0.000117713	0.000241031
31	0	0	0.000184978	0.000549327	0	0	7.287e-05	9.52915e-05
