%   1.17 |  4908396 |     2258 |      100 | 4.49e-07 | 2.04e-05 ||     2.47 |     0.82 |  1244.56 ||     1.58 | 02h38'57  
R	NNC	IIC	NIC	INC	NNE	IIE	NIE	INE
0	0.649209	0.724268	0.630918	0.542666	0.0018457	0.00216797	0.0003125	0.000214844
1	0.165439	0.112559	0.153223	0.209922	0.000957031	0.00101562	0.000419922	0.000439453
2	0.0528418	0.0363086	0.041543	0.0650293	0.00135742	0.0012793	0.000302734	0.000371094
3	0.0109473	0.00579102	0.0146484	0.0194629	0.000498047	0.000488281	0.000263672	0.000244141
4	0.0106934	0.0108984	0.00835937	0.00954102	0.000957031	0.00112305	0.000195312	0.000166016
5	0.00426758	0.00336914	0.00763672	0.00732422	0.000576172	0.000585937	0.000244141	0.000273438
6	0.00821289	0.00911133	0.00697266	0.00699219	0.000957031	0.000908203	0.000273438	0.000292969
7	0.00485352	0.00400391	0.00672852	0.0069043	0.000673828	0.000595703	0.000429687	0.0003125
8	0.00762695	0.00810547	0.00722656	0.00696289	0.00113281	0.00126953	0.000458984	0.000449219
9	0.00500977	0.00424805	0.00664062	0.00676758	0.000898437	0.00078125	0.000703125	0.000478516
10	0.00768555	0.00765625	0.00665039	0.00645508	0.00132813	0.00117187	0.000751953	0.000761719
11	0.00610352	0.00567383	0.00739258	0.00681641	0.00116211	0.00117187	0.000849609	0.000771484
12	0.00823242	0.00838867	0.0069043	0.00675781	0.00164062	0.00174805	0.00121094	0.00106445
13	0.00720703	0.00664062	0.0068457	0.00697266	0.00143555	0.00133789	0.00133789	0.00109375
14	0.00731445	0.008125	0.00697266	0.00677734	0.00146484	0.00160156	0.00154297	0.00148437
15	0.00594727	0.00603516	0.00695312	0.00722656	0.00135742	0.000986328	0.00138672	0.00133789
16	0.00555664	0.00597656	0.00644531	0.00633789	0.00115234	0.00118164	0.0012793	0.00132813
17	0.004375	0.00411133	0.00623047	0.00613281	0.00100586	0.00102539	0.00126953	0.00125
18	0.00306641	0.00289063	0.00561523	0.00563477	0.000644531	0.000595703	0.00110352	0.00148437
19	0.00166016	0.00181641	0.00479492	0.00509766	0.000400391	0.000361328	0.00125	0.00139648
20	0.00103516	0.00120117	0.00388672	0.00443359	0.000234375	0.000244141	0.000898437	0.0012207
21	0.000537109	0.000595703	0.00337891	0.0037207	0.000117187	0.000166016	0.000917969	0.000771484
22	0.000185547	0.000253906	0.00295898	0.00322266	2.92969e-05	1.95312e-05	0.0009375	0.000742187
23	9.76562e-05	6.83594e-05	0.00286133	0.00288086	1.95312e-05	3.90625e-05	0.000556641	0.000644531
24	1.95312e-05	9.76562e-06	0.0022168	0.00251953	1.95312e-05	0	0.000429687	0.000371094
25	9.76562e-06	2.92969e-05	0.00208008	0.00204102	0	0	0.000410156	0.000419922
26	0	0	0.00182617	0.00198242	0	0	0.000380859	0.000507812
27	0	0	0.00209961	0.00199219	0	0	0.000380859	0.000322266
28	0	0	0.00229492	0.00202148	0	0	0.000400391	0.000273438
29	0	0	0.00240234	0.00231445	0	0	0.000322266	0.000390625
30	0	0	0.00192383	0.00227539	0	0	0.000302734	0.000380859
31	0	0	0.00150391	0.00162109	0	0	0.000341797	0.000371094


