%   0.75 |    86642 |    24623 |      100 | 1.59e-04 | 1.15e-03 ||     0.29 |     0.10 | 18624.17 ||     0.27 | 00h28'49  
R	NNC	IIC	NIC	INC	NNE	IIE	NIE	INE	DC	DE
0	0.0915247	0.0908576	0.0106839	0.00992713	0.00209081	0.00200673	5.60538e-06	5.60538e-06	0.350084	0.00132287
1	0.00588565	0.00384529	0.0131334	0.0125056	0.000622197	0.00065583	2.80269e-05	2.24215e-05	0.0056278	0.00365471
2	0.0586211	0.0608296	0.0156783	0.0148991	0.00290359	0.00297646	7.84753e-05	6.72646e-05	0.12523	0.00255605
3	0.00959081	0.00745516	0.0182848	0.017472	0.00142377	0.00131166	0.000201794	0.000140135	0.0075	0.00474776
4	0.0502747	0.0539854	0.0207231	0.019787	0.00365471	0.00377242	0.000353139	0.000308296	0.0759529	0.0033352
5	0.0134025	0.0111323	0.0230886	0.021917	0.00223094	0.00216368	0.00044843	0.000459641	0.0083352	0.00605381
6	0.0475561	0.0503419	0.0265975	0.0248487	0.00479821	0.00502242	0.00103139	0.000852018	0.0538397	0.00459081
7	0.0187556	0.0170235	0.0293386	0.0278531	0.0032287	0.00350336	0.00124439	0.0011435	0.0100785	0.00710202
8	0.0491256	0.0508913	0.0334361	0.0311883	0.00693946	0.00693386	0.00203475	0.00183856	0.0411715	0.00596973
9	0.0280101	0.0265303	0.0366312	0.0351962	0.00538117	0.00560538	0.00325112	0.00249439	0.0117545	0.00826794
10	0.0550617	0.056407	0.0430437	0.0390527	0.00938901	0.00939462	0.00485987	0.00409753	0.0338173	0.00810538
11	0.0405269	0.0396244	0.0482399	0.0439069	0.00866031	0.00862668	0.00663677	0.00593049	0.0149103	0.0103251
12	0.0630325	0.0650785	0.0548767	0.0504484	0.0122309	0.0130998	0.00891256	0.00789798	0.0273206	0.0109978
13	0.0543274	0.0529484	0.0589518	0.0569899	0.0121469	0.0117993	0.0114686	0.010398	0.0168554	0.0109809
14	0.0650504	0.0655045	0.0627915	0.060852	0.0148094	0.0144339	0.0131222	0.0122814	0.0214742	0.0119451
15	0.054574	0.0529765	0.064389	0.062074	0.0124608	0.0122478	0.0143666	0.0139966	0.0154652	0.0101121
16	0.0521637	0.0524159	0.0608576	0.0611211	0.0125056	0.0123038	0.0142993	0.0142265	0.0144451	0.0103924
17	0.0383408	0.0374383	0.0540247	0.0565415	0.00869955	0.00871637	0.0132848	0.0140527	0.0102691	0.00705157
18	0.0282231	0.0288901	0.0461267	0.0502354	0.00752803	0.00696188	0.0116704	0.0116648	0.00701794	0.00584641
19	0.0172309	0.016889	0.0369731	0.0418217	0.0040583	0.00410314	0.00914798	0.0102971	0.0041648	0.00304933
20	0.0104484	0.0104428	0.0287108	0.0325673	0.00241592	0.00264574	0.00711883	0.00813341	0.00256166	0.00206278
21	0.00470852	0.00506726	0.0218105	0.0251457	0.00117713	0.00110426	0.00526906	0.00597534	0.00121637	0.000980942
22	0.00222534	0.00215807	0.0159249	0.0184193	0.000538117	0.000549327	0.00355381	0.00436099	0.000454036	0.000465247
23	0.00081278	0.00073991	0.0111827	0.0138621	0.000229821	0.000173767	0.00248318	0.00284753	0.000151345	0.000179372
24	0.00021861	0.000235426	0.00830717	0.00961883	7.84753e-05	7.84753e-05	0.00183856	0.00201233	8.96861e-05	8.40807e-05
25	7.84753e-05	7.287e-05	0.0061435	0.00736547	0	1.12108e-05	0.00131166	0.00170404	1.12108e-05	1.12108e-05
26	1.68161e-05	1.68161e-05	0.0038509	0.00522422	0	0	0.000908072	0.001037	0	1.12108e-05
27	1.12108e-05	0	0.00255045	0.00347534	0	0	0.000487668	0.00081278	0	0
28	0	0	0.00163117	0.00238789	0	0	0.000347534	0.000493274	0	0
29	0	0	0.00102018	0.00144619	0	0	0.000280269	0.000302691	0	0
30	0	0	0.000616592	0.000941704	0	0	0.000117713	0.000213004	0	0
31	0	0	0.000179372	0.000538117	0	0	3.92377e-05	0.000106502	0	0

