 %  0.85 |   726034 |    23410 |      100 | 1.81e-05 | 1.38e-04 ||     0.27 |     0.09 | 19977.38 ||     0.25 | 04h18'35  
R	NNC	IIC	NIC	INC	NNE	IIE	NIE	INE	DC	DE
0	0.10815	0.114148	0.02875	0.0239238	0.00200673	0.00212444	2.80269e-05	2.24215e-05	0.374613	0.00136211
1	0.0155325	0.0120572	0.0234417	0.0246917	0.00059417	0.000650224	6.72646e-05	8.40807e-05	0.0102522	0.00378924
2	0.0611547	0.0631782	0.0181054	0.0191256	0.00264574	0.00317825	0.000140135	8.40807e-05	0.120533	0.0020852
3	0.0102578	0.00810538	0.0190191	0.0184922	0.00108184	0.00119955	0.000168161	0.000184978	0.00728139	0.00496637
4	0.0501906	0.0521581	0.0211771	0.0200224	0.00360426	0.0039574	0.000280269	0.000257848	0.0720852	0.00318386
5	0.0141816	0.0118946	0.0245235	0.0227803	0.00192825	0.0020796	0.000493274	0.00043722	0.00870516	0.00598655
6	0.046861	0.0491031	0.0267825	0.0255717	0.00456839	0.00493834	0.000801569	0.000706278	0.0514686	0.00435538
7	0.0191592	0.0173318	0.0302242	0.0279989	0.00335762	0.0035426	0.00123318	0.00107063	0.00971973	0.00695628
8	0.04838	0.0487332	0.0333352	0.0319563	0.00641816	0.00644058	0.00213004	0.00180493	0.0389182	0.00535874
9	0.02838	0.0261939	0.0374047	0.0345964	0.00508408	0.00524103	0.00306614	0.00258408	0.0116031	0.00786435
10	0.0523374	0.0539126	0.0419507	0.0394507	0.00894619	0.00889013	0.00452915	0.00368834	0.0313621	0.00783632
11	0.0412444	0.0374215	0.0472197	0.0443274	0.00811099	0.00824552	0.00650785	0.00598655	0.0143666	0.00972534
12	0.0600785	0.0603139	0.0526121	0.0485594	0.0120291	0.0125112	0.00816143	0.00719731	0.0257567	0.0102018
13	0.0529933	0.0510146	0.0565639	0.0534361	0.0120628	0.0115919	0.0106166	0.00952915	0.015824	0.0105437
14	0.0613061	0.0623262	0.0603756	0.0574888	0.0141816	0.0131334	0.0126626	0.0117377	0.0203027	0.0113789
15	0.0521469	0.0515583	0.0601289	0.060185	0.0120572	0.011704	0.0134025	0.0128251	0.0147926	0.0101401
16	0.0480213	0.0499776	0.0571581	0.0569283	0.0119002	0.0118498	0.0135762	0.0134978	0.0136996	0.00972534
17	0.035852	0.0358464	0.0512556	0.0535706	0.00854821	0.00848655	0.0132848	0.0136155	0.00936099	0.00704036
18	0.0268386	0.0265415	0.0432791	0.0474776	0.00662556	0.00617713	0.0111379	0.0113453	0.00686099	0.00516816
19	0.0157455	0.0162108	0.0349944	0.0388565	0.00408632	0.00388453	0.00882848	0.00970291	0.00403587	0.00295404
20	0.00913117	0.00962444	0.0278083	0.0311267	0.00240471	0.00237668	0.00689462	0.00785874	0.00238229	0.00205157
21	0.00462444	0.00488229	0.0201177	0.0239238	0.00125	0.00124439	0.00483744	0.00609305	0.00119955	0.000902466
22	0.0019843	0.0020796	0.014815	0.0176121	0.000538117	0.00051009	0.00356502	0.00399103	0.000420404	0.000403587
23	0.000835202	0.000767937	0.0106614	0.0129316	0.000100897	0.000179372	0.00258408	0.00311099	0.000190583	0.000140135
24	0.000308296	0.000308296	0.00778027	0.00950673	6.72646e-05	6.16592e-05	0.00179372	0.00213004	2.80269e-05	8.40807e-05
25	6.16592e-05	7.84753e-05	0.00557735	0.00682735	1.68161e-05	1.68161e-05	0.0011491	0.00163117	5.60538e-06	1.68161e-05
26	1.68161e-05	5.60538e-06	0.00396861	0.00460762	5.60538e-06	5.60538e-06	0.000902466	0.00110987	5.60538e-06	5.60538e-06
27	0	0	0.00276345	0.00377242	5.60538e-06	5.60538e-06	0.000605381	0.000773543	0	0
28	0	0	0.00190583	0.00243834	0	0	0.000353139	0.000476457	0	0
29	0	0	0.00121076	0.0017713	0	0	0.000196188	0.000269058	0	0
30	0	0	0.000639013	0.00106502	0	0	0.00014574	0.000201794	0	0
31	0	0	0.000224215	0.000560538	0	0	8.40807e-05	0.00014574	0	0


