%      0.95 |  7925153 |    21575 |      100 | 1.53e-06 | 1.26e-05 ||     0.35 |     0.12 | 15180.26 ||     0.33 | 35h49'01  
R	NNC	IIC	NIC	INC	NNE	IIE	NIE	INE	DC	DE
0	0.129109	0.136906	0.0465583	0.0402354	0.0019787	0.00212444	1.68161e-05	1.12108e-05	0.396889	0.00118834
1	0.0178587	0.0129709	0.02625	0.0286211	0.000588565	0.000577354	3.92377e-05	5.04484e-05	0.00949552	0.00334081
2	0.0620684	0.0642769	0.0193049	0.0206222	0.00279148	0.00280269	0.000112108	0.000112108	0.119176	0.00209081
3	0.0103475	0.00724215	0.0198879	0.0190639	0.00134529	0.00113789	0.000134529	0.000117713	0.00705718	0.00468049
4	0.0492881	0.052102	0.0218274	0.0206558	0.00359865	0.00341928	0.000274664	0.000257848	0.0704316	0.00299327
5	0.0141648	0.0113901	0.0249664	0.0233072	0.0019787	0.00200112	0.000661435	0.000403587	0.00853139	0.00505045
6	0.04662	0.0485258	0.0268161	0.0255998	0.00438341	0.00483184	0.000829596	0.000683856	0.0500112	0.00380045
7	0.0192152	0.0165359	0.0300056	0.0281726	0.00317265	0.00289238	0.00129484	0.00120516	0.0100056	0.00608184
8	0.0469843	0.0491704	0.033509	0.0321188	0.00596973	0.00619395	0.00202915	0.00155269	0.0382904	0.00564462
9	0.0280437	0.0252354	0.0372926	0.0352242	0.00470852	0.00473094	0.00276906	0.00250561	0.0119731	0.00723655
10	0.0516648	0.0548543	0.0419114	0.0393834	0.00866031	0.00856502	0.00406951	0.00346413	0.0305605	0.00765695
11	0.0405269	0.0367489	0.0476682	0.0441704	0.00743274	0.00771861	0.00586323	0.00514013	0.0140471	0.00868834
12	0.0593498	0.0598879	0.0520235	0.0481054	0.0116031	0.0112444	0.00746076	0.00695067	0.0250224	0.00960202
13	0.0507455	0.0492377	0.0561267	0.0524496	0.0102971	0.0102747	0.0101738	0.00849776	0.0153251	0.00959081
14	0.0608632	0.0613229	0.0575785	0.0564742	0.0133352	0.0128195	0.0110818	0.0104428	0.0194619	0.0109865
15	0.0507623	0.049389	0.0584585	0.0580157	0.0102074	0.0109978	0.0124608	0.0116424	0.0140919	0.00891256
16	0.0469226	0.0480998	0.0559193	0.0559081	0.0105774	0.0106446	0.0121525	0.0120348	0.0130101	0.00924888
17	0.0349832	0.0344899	0.0495572	0.0520516	0.00755605	0.00723655	0.0113789	0.0120123	0.00889013	0.0061491
18	0.0253644	0.0260538	0.0419283	0.045426	0.00598655	0.00603139	0.01	0.0109978	0.00641256	0.00511211
19	0.015454	0.0156614	0.0338901	0.0375729	0.00375	0.0033296	0.00823431	0.00861547	0.00394058	0.00251121
20	0.00898543	0.00915359	0.0265919	0.0298543	0.00195628	0.00219731	0.00649664	0.00732623	0.00213565	0.00175448
21	0.00445067	0.00426569	0.0197141	0.0227018	0.000992152	0.00104821	0.00507287	0.00566143	0.000986547	0.000700673
22	0.00182735	0.00183296	0.0147814	0.0175953	0.000454036	0.00043722	0.00318946	0.00408072	0.000465247	0.000341928
23	0.000599776	0.000852018	0.0103251	0.0125336	0.000151345	0.000168161	0.0026065	0.00307175	0.000168161	0.000100897
24	0.000190583	0.000235426	0.00773543	0.00940583	4.48431e-05	0.000100897	0.00167601	0.00203475	6.16592e-05	4.48431e-05
25	5.04484e-05	2.24215e-05	0.00548767	0.00688901	1.12108e-05	1.12108e-05	0.00136211	0.0015639	1.12108e-05	2.80269e-05
26	1.68161e-05	0	0.00373879	0.0048991	5.60538e-06	0	0.000734305	0.0011491	1.12108e-05	0
27	5.60538e-06	0	0.00270179	0.00343049	0	0	0.000571749	0.000689462	0	0
28	0	0	0.00182735	0.00251682	0	0	0.000426009	0.000538117	0	0
29	0	0	0.0011491	0.00158632	0	0	0.000201794	0.000369955	0	0
30	0	0	0.000571749	0.00104821	0	0	0.000100897	0.00021861	0	0
31	0	0	0.000358744	0.000543722	0	0	6.16592e-05	8.40807e-05	0	0



