%        1.00 | 29802112 |    17147 |      100 | 3.23e-07 | 3.36e-06 ||     0.34 |     0.11 | 15907.88 ||     0.31 | 140h55'29  0  
R	NNC	IIC	NIC	INC	NNE	IIE	NIE	INE	DC	DE
0	0.261424	0.28574	0.199277	0.171345	0.00158632	0.00180493	8.40807e-05	5.04484e-05	0.513044	0.00117713
1	0.0605942	0.0442433	0.066704	0.0816984	0.000689462	0.000711883	0.000123318	9.52915e-05	0.022315	0.00283632
2	0.0609305	0.0557231	0.0249608	0.0336883	0.00225897	0.00253363	0.000179372	0.000196188	0.0929877	0.00175448
3	0.00978139	0.00683296	0.0161659	0.017713	0.000986547	0.00100336	0.000184978	0.000140135	0.00579036	0.00359865
4	0.0387276	0.0393274	0.0164462	0.0158352	0.00263453	0.00284193	0.000375561	0.000336323	0.0537836	0.00240471
5	0.0110987	0.00857063	0.0190415	0.017926	0.00148543	0.00168161	0.000442825	0.000414798	0.00645179	0.00415359
6	0.0355045	0.0376065	0.0202354	0.0196076	0.0034417	0.00378924	0.000711883	0.000644619	0.0395628	0.00300448
7	0.0150392	0.012685	0.0231895	0.0218778	0.00262892	0.0025	0.00103139	0.000784753	0.0073935	0.00481502
8	0.0359641	0.0377018	0.0259417	0.024417	0.00474776	0.00475336	0.00144058	0.00130605	0.0301345	0.00453475
9	0.0218049	0.0194395	0.0282399	0.0263957	0.00392377	0.00357063	0.00220291	0.00194507	0.00914798	0.00553251
10	0.0402242	0.0414406	0.0323991	0.0304933	0.00655269	0.00654148	0.00329036	0.00267937	0.023963	0.00589686
11	0.031093	0.0289518	0.0363789	0.0340919	0.00602578	0.00592489	0.00438341	0.00389013	0.0107287	0.0067657
12	0.045398	0.0469114	0.0400504	0.0388677	0.00890695	0.00863229	0.00617152	0.00579036	0.019843	0.00797085
13	0.0389686	0.039204	0.0446469	0.0413565	0.00822309	0.00813901	0.00762332	0.00674888	0.0123038	0.00776345
14	0.0459025	0.0469339	0.045611	0.0440471	0.0099944	0.0093722	0.00931614	0.00863789	0.0149496	0.00860987
15	0.0401962	0.0390863	0.0453307	0.0446188	0.00866592	0.00872758	0.00964686	0.00899664	0.0106951	0.00714686
16	0.0371917	0.0378531	0.0440863	0.0434025	0.00851457	0.00853139	0.00993834	0.01	0.0106166	0.00655269
17	0.0268442	0.0280213	0.0382231	0.0404989	0.00622197	0.00595291	0.00924888	0.00910874	0.00713004	0.0047926
18	0.0206054	0.0200224	0.0332904	0.0357848	0.00465247	0.00487668	0.00774664	0.00830157	0.00511211	0.00387892
19	0.0120684	0.0125	0.0263229	0.0294955	0.0026065	0.00269619	0.00643498	0.00714126	0.00334081	0.00215247
20	0.00720852	0.00743834	0.0207904	0.0230998	0.00164798	0.00177691	0.00476457	0.00557175	0.00152466	0.00138453
21	0.00338565	0.003537	0.0155269	0.0176513	0.000756726	0.000818386	0.00378363	0.00431614	0.000902466	0.000571749
22	0.00151345	0.00155269	0.0119339	0.013139	0.000375561	0.000386771	0.00276345	0.00316144	0.000330717	0.000269058
23	0.000482063	0.000605381	0.00842489	0.0105774	0.000140135	9.52915e-05	0.00172646	0.0023935	0.000168161	0.000117713
24	0.000196188	0.00029148	0.00603139	0.00729821	5.60538e-05	6.16592e-05	0.00144619	0.00154148	3.36323e-05	2.80269e-05
25	0.000100897	3.92377e-05	0.00440022	0.00563901	1.68161e-05	5.60538e-06	0.000835202	0.00116031	5.60538e-06	2.80269e-05
26	1.12108e-05	0	0.0031222	0.00397982	0	1.12108e-05	0.00065583	0.000745516	0	0
27	0	0	0.00222534	0.00272422	0	0	0.000465247	0.000538117	0	0
28	0	0	0.00150224	0.00194507	0	0	0.000369955	0.000426009	0	0
29	0	0	0.00100897	0.00142937	0	0	0.00014574	0.000330717	0	0
30	0	0	0.000459641	0.000924888	0	0	0.00014574	0.000162556	0	0
31	0	0	0.00029148	0.000397982	0	0	6.16592e-05	0.000134529	0	0


