%1.10 | 1.54e+08 |     5525 |      100 | 2.02e-08 | 6.51e-07 ||     0.13 |     0.04 | 42203.65 ||     4.77 | 47h52'48 
R	NNC	IIC	NIC	INC	NNE	IIE	NIE	INE	DC	DE
0	0.476442	0.557324	0.477197	0.376913	0.00106129	0.00124066	0.000298954	0.000134529	0.733505	0.00104634
1	0.188856	0.129783	0.176741	0.241577	0.000859492	0.000762332	0.000298954	0.000396114	0.0554858	0.00153214
2	0.0603288	0.0395815	0.0315022	0.0620329	0.00110613	0.00124066	0.000313901	0.000254111	0.0454111	0.000852018
3	0.00632287	0.0036846	0.0082287	0.0117638	0.000470852	0.000261584	0.000149477	0.000209268	0.0021151	0.00130792
4	0.0166143	0.0179372	0.00699552	0.00704036	0.00100149	0.00120329	0.000171898	0.00019432	0.0246413	0.000919282
5	0.00452167	0.00384155	0.00785501	0.00730194	0.000627803	0.000627803	0.000149477	0.000149477	0.00263827	0.0016293
6	0.0157399	0.016704	0.00844544	0.00809417	0.00157698	0.00133782	0.00029148	0.000276532	0.018154	0.00132287
7	0.0061136	0.0054559	0.00970852	0.00946936	0.00101644	0.000971599	0.00038864	0.000321375	0.00346039	0.00175635
8	0.0164051	0.0171001	0.011577	0.0102317	0.00200299	0.00190583	0.000568012	0.000530643	0.013565	0.00155456
9	0.00910314	0.00864723	0.0122646	0.0113976	0.0013154	0.00140508	0.000889387	0.000747384	0.00384903	0.00233184
10	0.0178774	0.0191106	0.0138565	0.013012	0.00278774	0.00262332	0.00127055	0.00108371	0.0107848	0.00258595
11	0.0130792	0.012855	0.015852	0.0148206	0.00223468	0.00261584	0.00176383	0.00164425	0.00475336	0.00263827
12	0.0207025	0.0210164	0.0178027	0.0169357	0.00407324	0.00376682	0.00248879	0.00223468	0.00923019	0.00325112
13	0.0173169	0.0173169	0.0196487	0.0182436	0.00343797	0.00330344	0.00307922	0.00264574	0.00549327	0.00323617
14	0.0212631	0.0216442	0.0203064	0.0197235	0.00443199	0.00416293	0.00372945	0.00340807	0.00724215	0.00369208
15	0.0178102	0.0174514	0.0200897	0.0202167	0.0031988	0.00332586	0.00403587	0.00381166	0.00502242	0.00296712
16	0.0165321	0.0166218	0.0199701	0.0193124	0.0035725	0.00384155	0.00411061	0.00387145	0.00467862	0.00304185
17	0.0125934	0.0116368	0.017145	0.0186921	0.00250374	0.002429	0.00391629	0.00411061	0.00310164	0.00218984
18	0.00923767	0.00949178	0.0151271	0.0161883	0.00205531	0.00218984	0.00324365	0.00374439	0.00231689	0.0017414
19	0.00576981	0.00532138	0.0119208	0.0131166	0.00102392	0.00118087	0.00269806	0.00298954	0.00139013	0.00100149
20	0.00302691	0.00332586	0.00961883	0.0101943	0.000852018	0.000769806	0.0022272	0.00232436	0.000822123	0.000635276
21	0.00157698	0.0013154	0.00681614	0.00836323	0.000328849	0.000358744	0.00165172	0.00181614	0.000426009	0.000313901
22	0.00064275	0.000717489	0.00544096	0.00639013	0.000134529	0.000134529	0.00108371	0.00150972	0.000112108	0.000142003
23	0.000276532	0.00019432	0.0035426	0.00453662	4.4843e-05	6.72646e-05	0.000956652	0.000956652	3.73692e-05	6.72646e-05
24	5.97907e-05	0.000104634	0.00265321	0.00313154	2.98954e-05	2.98954e-05	0.000590433	0.000612855	0		7.47384e-06
25	1.49477e-05	4.4843e-05	0.00218984	0.00226457	1.49477e-05	7.47384e-06	0.000440957	0.000433483	0		0
26	7.47384e-06	0		0.00138266	0.00183109	0		0		0.000224215	0.000381166	0		0
27	0		0		0.00126308	0.00137519	0		0		0.000164425	0.000231689	0		0
28	0		7.47384e-06	0.00112855	0.00127055	0		0		0.000164425	0.000201794	0		0
29	0		0		0.000807175	0.000904335	0		0		0.000134529	0.000164425	0		0
30	0		0		0.00068012	0.000784753	0		0		0.000179372	0.000171898	0		0
31	0		0		0.000478326	0.000672646	0		0		8.96861e-05	0.000134529	0		0

