R	NNC	IIC	NIC	INC	NNE	IIE	NIE	INE
0	0.0872085	0.0912668	0.01037	0.00961883	0.00216368	0.00242713	0	5.60538e-06
1	0.00678251	0.00471973	0.0129989	0.0120572	0.000644619	0.000711883	5.60538e-05	1.12108e-05
2	0.0573991	0.059574	0.016065	0.0151794	0.00326794	0.00315022	0.000112108	0.000112108
3	0.00942825	0.00821749	0.0181951	0.0173879	0.00161996	0.00122197	0.000201794	0.000156951
4	0.0490695	0.0524664	0.0201065	0.0194451	0.0040639	0.00454596	0.000353139	0.000297085
5	0.0140078	0.0119563	0.0228812	0.021222	0.00221413	0.00231502	0.000610987	0.000493274
6	0.0471973	0.0498767	0.0255661	0.0243722	0.00508969	0.00547085	0.00100897	0.000902466
7	0.0190863	0.0174047	0.0292433	0.0270235	0.00379484	0.00346973	0.00164798	0.0013509
8	0.0482175	0.0504652	0.0334809	0.0316144	0.00679933	0.00722534	0.00220852	0.00183296
9	0.0280101	0.02588	0.0382231	0.0353924	0.00567265	0.00577354	0.00335762	0.00308296
10	0.054148	0.0557455	0.0438285	0.0401682	0.0101401	0.0100953	0.00523543	0.00451794
11	0.042102	0.0392601	0.0474832	0.044546	0.0096917	0.00880605	0.00705718	0.0061491
12	0.0623318	0.0635034	0.053991	0.0504316	0.0135482	0.0134025	0.00933296	0.00798206
13	0.0545404	0.0519843	0.0590022	0.0559809	0.0123823	0.012287	0.0112556	0.0104933
14	0.0647366	0.0650897	0.0630605	0.0596076	0.0150168	0.0152242	0.0144955	0.0123935
15	0.0550336	0.0536267	0.0634305	0.062074	0.0130325	0.0129821	0.0148038	0.0144283
16	0.0512668	0.0510818	0.0603868	0.0612724	0.0124271	0.0127186	0.0147141	0.0148823
17	0.0389966	0.0378587	0.0539742	0.0573767	0.00935538	0.00941144	0.0140919	0.0145572
18	0.0280661	0.0282119	0.0453083	0.0484249	0.00715807	0.00704036	0.0116928	0.0130381
19	0.0169395	0.016889	0.036065	0.0405605	0.0045852	0.00422646	0.00978139	0.0105101
20	0.0101682	0.00993834	0.0284529	0.0320404	0.00234865	0.00252242	0.00722534	0.00845852
21	0.00491592	0.00482623	0.0208296	0.0242377	0.00115471	0.00106502	0.00534753	0.00602018
22	0.00212444	0.00209081	0.0151233	0.0185594	0.000538117	0.000644619	0.0039574	0.00438341
23	0.000773543	0.000711883	0.011009	0.0134753	0.000207399	0.000179372	0.00284753	0.00340247
24	0.000386771	0.00021861	0.00799888	0.00965247	5.60538e-05	3.92377e-05	0.00179372	0.0026065
25	6.16592e-05	9.52915e-05	0.0054148	0.00674888	2.24215e-05	4.48431e-05	0.00153587	0.00165919
26	0	3.36323e-05	0.00411996	0.00487668	0	0	0.000913677	0.00117713
27	0	5.60538e-06	0.00266816	0.0038509	5.60538e-06	0	0.000532511	0.000852018
28	0	0	0.00170964	0.00242152	0	0	0.000386771	0.000504484
29	0	0	0.0011491	0.00164238	0	0	0.000285874	0.000369955
30	0	0	0.000599776	0.000975336	0	0	0.000128924	0.00021861
31	0	0	0.000263453	0.000532511	0	0	2.80269e-05	0.000128924
