R	NNC	IIC	NIC	INC	NNE	IIE	NIE	INE
0	0.356481	0.391267	0.235102	0.203842	0.0599465	0.068823	0.00401265	0.00340467
0.1	0.0192937	0.0107458	0.0490783	0.0484412	0.0127675	0.00924124	0.00340467	0.00206712
0.2	0.0470502	0.0454681	0.0442576	0.0484625	0.0361138	0.0323444	0.005107	0.00474222
0.3	0.0271831	0.0287759	0.0401589	0.038874	0.01982	0.0215224	0.0079037	0.00729572
0.4	0.0293174	0.0288502	0.0371963	0.046222	0.026143	0.0272374	0.0100924	0.0100924
0.5	0.025962	0.0227128	0.0399252	0.0401376	0.0277237	0.0237111	0.0161722	0.0178745
0.6	0.0252506	0.0223305	0.0385555	0.0373237	0.0301556	0.0280885	0.0224951	0.0184825
0.7	0.019145	0.0232225	0.0373131	0.038428	0.0239543	0.0286965	0.0286965	0.0328307
0.8	0.021704	0.0199308	0.0354761	0.054876	0.032466	0.0289397	0.0400049	0.047179
0.9	0.02627	0.0203343	0.0427391	0.0417304	0.035749	0.0322228	0.0611625	0.0558123
1	0.0183168	0.0217571	0.0480802	0.0372388	0.0314932	0.0348979	0.072714	0.0668774
1.1	0.0210776	0.0216722	0.0410083	0.0425799	0.040856	0.0398833	0.0741732	0.0836576
1.2	0.0200157	0.0217571	0.0367822	0.0479952	0.0387889	0.0380593	0.0779426	0.0766051
1.3	0.0264823	0.0197609	0.0348178	0.0363893	0.0428016	0.0413424	0.0791586	0.0811041
1.4	0.0255798	0.024794	0.0289246	0.0317809	0.0473006	0.0494893	0.0766051	0.0820768
1.5	0.0270982	0.0242737	0.0327578	0.0297634	0.0500973	0.052894	0.0700389	0.0654183
1.6	0.0243268	0.0229995	0.028107	0.0300607	0.05107	0.0434095	0.0515564	0.0597033
1.7	0.0250701	0.0220757	0.0236472	0.0232756	0.0482733	0.0493677	0.0458414	0.0441391
1.8	0.0245604	0.0209395	0.017393	0.0218527	0.0485165	0.0474222	0.0418288	0.0358706
1.9	0.027576	0.0237428	0.0158427	0.0154923	0.0521644	0.0421936	0.032466	0.0342899
2	0.01408	0.0171594	0.0150675	0.0130713	0.030034	0.0366002	0.0313716	0.0290613
2.1	0.0199414	0.0205679	0.0124979	0.0108839	0.0362354	0.0436527	0.0262646	0.0251702
2.2	0.0186566	0.0157259	0.0111069	0.00814433	0.0313716	0.0266294	0.0188473	0.0189689
2.3	0.0152693	0.0133474	0.00732671	0.00864339	0.0262646	0.0277237	0.016537	0.0166586
2.4	0.0126359	0.012689	0.00804876	0.00782577	0.020428	0.021036	0.015321	0.015929
2.5	0.00724176	0.00819742	0.00700816	0.00705063	0.0162938	0.0144698	0.0122811	0.0113084
2.6	0.0111918	0.00707187	0.00421551	0.004035	0.0138619	0.0171449	0.00887646	0.00644455
2.7	0.00871772	0.00580827	0.0028245	0.00264399	0.00753891	0.0103356	0.00595817	0.00595817
2.8	0.00598879	0.00619054	0.00228296	0.00245285	0.0110652	0.00753891	0.00376946	0.00474222
2.9	0.00832484	0.00623301	0.00228296	0.00181575	0.00595817	0.0105788	0.00498541	0.00352626
3	0.0401907	0.0495986	0.020175	0.0186672	0.0447471	0.0445039	0.0344115	0.0327091
