R	NNC	IIC	NIC	INC	NNE	IIE	NIE	INE
0	0.327852	0.359844	0.216221	0.187471	0.00481445	0.00552734	0.000322266	0.000273438
0.1	0.0177441	0.00988281	0.0451367	0.0445508	0.00102539	0.000742187	0.000273438	0.000166016
0.2	0.0432715	0.0418164	0.0407031	0.0445703	0.00290039	0.00259766	0.000410156	0.000380859
0.3	0.025	0.0264648	0.0369336	0.035752	0.0015918	0.00172852	0.000634766	0.000585937
0.4	0.0269629	0.0265332	0.034209	0.0425098	0.00209961	0.0021875	0.000810547	0.000810547
0.5	0.023877	0.0208887	0.0367187	0.0369141	0.00222656	0.0019043	0.00129883	0.00143555
0.6	0.0232227	0.0205371	0.035459	0.0343262	0.00242188	0.00225586	0.00180664	0.00148437
0.7	0.0176074	0.0213574	0.0343164	0.0353418	0.00192383	0.00230469	0.00230469	0.00263672
0.8	0.0199609	0.0183301	0.032627	0.0504688	0.00260742	0.00232422	0.00321289	0.00378906
0.9	0.0241602	0.0187012	0.0393066	0.0383789	0.00287109	0.00258789	0.00491211	0.00448242
1	0.0168457	0.0200098	0.0442187	0.034248	0.0025293	0.00280273	0.00583984	0.00537109
1.1	0.0193848	0.0199316	0.0377148	0.0391602	0.00328125	0.00320312	0.00595703	0.00671875
1.2	0.0184082	0.0200098	0.0338281	0.0441406	0.00311523	0.00305664	0.00625977	0.00615234
1.3	0.0243555	0.0181738	0.0320215	0.0334668	0.0034375	0.00332031	0.00635742	0.00651367
1.4	0.0235254	0.0228027	0.0266016	0.0292285	0.00379883	0.00397461	0.00615234	0.0065918
1.5	0.0249219	0.0223242	0.030127	0.027373	0.00402344	0.00424805	0.005625	0.00525391
1.6	0.022373	0.0211523	0.0258496	0.0276465	0.00410156	0.00348633	0.00414062	0.00479492
1.7	0.0230566	0.0203027	0.021748	0.0214063	0.00387695	0.00396484	0.00368164	0.00354492
1.8	0.0225879	0.0192578	0.0159961	0.0200977	0.00389648	0.00380859	0.00335937	0.00288086
1.9	0.0253613	0.0218359	0.0145703	0.014248	0.00418945	0.00338867	0.00260742	0.00275391
2	0.0129492	0.0157812	0.0138574	0.0120215	0.00241211	0.00293945	0.00251953	0.00233398
2.1	0.0183398	0.018916	0.0114941	0.0100098	0.00291016	0.00350586	0.00210937	0.00202148
2.2	0.0171582	0.0144629	0.0102148	0.00749023	0.00251953	0.00213867	0.00151367	0.00152344
2.3	0.014043	0.0122754	0.00673828	0.00794922	0.00210937	0.00222656	0.00132813	0.00133789
2.4	0.0116211	0.0116699	0.00740234	0.00719727	0.00164062	0.00168945	0.00123047	0.0012793
2.5	0.00666016	0.00753906	0.00644531	0.00648437	0.00130859	0.00116211	0.000986328	0.000908203
2.6	0.010293	0.00650391	0.00387695	0.00371094	0.00111328	0.00137695	0.000712891	0.000517578
2.7	0.00801758	0.0053418	0.00259766	0.00243164	0.000605469	0.000830078	0.000478516	0.000478516
2.8	0.00550781	0.00569336	0.00209961	0.00225586	0.000888672	0.000605469	0.000302734	0.000380859
2.9	0.00765625	0.00573242	0.00209961	0.00166992	0.000478516	0.000849609	0.000400391	0.000283203
3	0.0369629	0.0456152	0.0185547	0.017168	0.00359375	0.00357422	0.00276367	0.00262695
