R	NNC	IIC	NIC	INC	NNE	IIE	NIE	INE
0	0.356481	0.391267	0.206889	0.173101	0.0599465	0.068823	0.0025535	0.00206712
1	0.0829935	0.0568085	0.101809	0.115773	0.0212792	0.0178745	0.00413424	0.00364786
2	0.0868162	0.0866463	0.0575518	0.0657492	0.0520428	0.0556907	0.00571498	0.00474222
3	0.0263124	0.0195167	0.0412101	0.043716	0.0239543	0.0189689	0.00583658	0.00559339
4	0.0464874	0.0500127	0.0360389	0.0363468	0.0505837	0.0469358	0.00826848	0.00729572
5	0.0200582	0.0167983	0.0324393	0.0325667	0.0256566	0.0262646	0.0105788	0.00960603
6	0.0370264	0.0388634	0.0318659	0.0308571	0.0491245	0.0504621	0.0138619	0.0116732
7	0.0202706	0.0193361	0.0303156	0.030581	0.0362354	0.0303988	0.0154426	0.0151994
8	0.0332887	0.0348815	0.0293918	0.0298271	0.0587305	0.0589737	0.021644	0.0195768
9	0.0225217	0.0220863	0.0295404	0.0283936	0.0417072	0.041464	0.0258998	0.0245623
10	0.0336816	0.0354337	0.030443	0.0295511	0.0595817	0.0657831	0.0348979	0.0319796
11	0.0285211	0.0261956	0.0304218	0.0298802	0.0536235	0.0572714	0.0449903	0.0391537
12	0.035147	0.036453	0.0318765	0.0300183	0.0745379	0.0749027	0.0530156	0.0503405
13	0.0323225	0.0301032	0.0319083	0.030305	0.0666342	0.0660263	0.0646887	0.0549611
14	0.0339258	0.0342975	0.0313137	0.0304536	0.0802529	0.0785506	0.0659047	0.0680934
15	0.0283724	0.0283087	0.0316216	0.0310589	0.0627432	0.0638376	0.0738084	0.0696741
16	0.0256647	0.0248046	0.0297209	0.0307722	0.0610409	0.0648103	0.0746595	0.0695525
17	0.0192406	0.0185928	0.0275336	0.0285848	0.0452335	0.0417072	0.0757539	0.0749027
18	0.013496	0.0133474	0.0246029	0.0258558	0.0305204	0.0314932	0.058001	0.0691877
19	0.00831422	0.00770897	0.0222137	0.023541	0.0220088	0.0184825	0.0572714	0.0615272
20	0.0051287	0.00471458	0.0184123	0.0199308	0.0138619	0.0126459	0.0505837	0.0520428
21	0.002421	0.00228296	0.0159276	0.016862	0.00462062	0.0052286	0.0419504	0.0447471
22	0.00105122	0.00101937	0.0142712	0.0146747	0.00376946	0.0025535	0.0387889	0.0348979
23	0.000307934	0.000339789	0.012466	0.0133155	0.00182393	0.000607977	0.0276021	0.0303988
24	0.000106184	0.000148658	0.0100663	0.0109901	0.000486381	0.000243191	0.0243191	0.0283317
25	4.24737e-05	2.12368e-05	0.00874958	0.00982204	0	0	0.0217656	0.0254134
26	0	1.06184e-05	0.00765588	0.00849473	0	0	0.0183609	0.021036
27	0	0	0.00661527	0.00706125	0	0	0.0148346	0.0162938
28	0	0	0.00550034	0.00594631	0	0	0.0141051	0.0127675
29	0	0	0.00481014	0.00513931	0	0	0.0119163	0.0119163
30	0	0	0.00413056	0.00473581	0	0	0.01143	0.0120379
31	0	0	0.00268646	0.00380139	0	0	0.00741732	0.0109436

