% 0.65 |     6602 |    11365 |      100 | 1.68e-03 | 1.51e-02 ||     2.72 |     0.91 |  1130.95 ||     1.74 | 00h00'11  
R	NNC	IIC	NIC	INC	NNE	IIE	NIE	INE
0	0.199883	0.21209	0.0593555	0.0515332	0.00560547	0.00548828	4.88281e-05	9.76562e-06
1	0.0302637	0.0191211	0.0469043	0.0473145	0.00113281	0.000869141	0.000107422	9.76562e-05
2	0.0770996	0.0835645	0.0389063	0.0389941	0.00474609	0.00525391	0.0003125	0.000205078
3	0.0205859	0.015127	0.0346777	0.0347949	0.00155273	0.00154297	0.000380859	0.000478516
4	0.0524219	0.0571973	0.0329199	0.0328223	0.00507812	0.0056543	0.000673828	0.000537109
5	0.0203711	0.0165527	0.0337402	0.0324707	0.0025293	0.00243164	0.00102539	0.00078125
6	0.0448926	0.0485449	0.0329883	0.0320508	0.00529297	0.00561523	0.00118164	0.00104492
7	0.0225488	0.0205176	0.0337109	0.0322656	0.00348633	0.00310547	0.00158203	0.00162109
8	0.0425098	0.0456348	0.0330859	0.0317285	0.00649414	0.00661133	0.00235352	0.00174805
9	0.0274414	0.0262695	0.0340918	0.0330176	0.00452148	0.00464844	0.00301758	0.0027832
10	0.0434473	0.0439453	0.0360547	0.0345996	0.00766602	0.00769531	0.00401367	0.00373047
11	0.0358203	0.0331152	0.0372949	0.0372363	0.0069043	0.00638672	0.00526367	0.00427734
12	0.0469824	0.0466504	0.0397852	0.0382031	0.00902344	0.00943359	0.00631836	0.00616211
13	0.04125	0.0388965	0.0411426	0.0400586	0.00833008	0.00862305	0.00758789	0.00661133
14	0.0448437	0.0447852	0.0425195	0.0412207	0.00954102	0.00948242	0.00788086	0.00806641
15	0.0368652	0.0372461	0.0421387	0.0407129	0.00779297	0.00798828	0.0093457	0.00860352
16	0.034248	0.0338184	0.038916	0.0401465	0.0080957	0.00741211	0.00942383	0.00880859
17	0.0248437	0.0243164	0.0372168	0.0374023	0.0053418	0.00546875	0.00863281	0.00914062
18	0.0182617	0.0182129	0.0337109	0.0351172	0.00416992	0.00404297	0.00791016	0.00813477
19	0.0112402	0.0103125	0.0284473	0.030459	0.00227539	0.00245117	0.00685547	0.00713867
20	0.00663086	0.00618164	0.0244238	0.0261523	0.00166016	0.00144531	0.0059668	0.00610352
21	0.003125	0.00301758	0.0208496	0.0229297	0.000761719	0.000478516	0.00473633	0.00543945
22	0.00128906	0.00144531	0.0178223	0.019375	0.000380859	0.000332031	0.00356445	0.00455078
23	0.000322266	0.000634766	0.0143359	0.0158496	0.000146484	6.83594e-05	0.00301758	0.00336914
24	0.000175781	0.000205078	0.0125879	0.0128809	1.95312e-05	2.92969e-05	0.00266602	0.00271484
25	2.92969e-05	2.92969e-05	0.0100293	0.011543	1.95312e-05	9.76562e-06	0.00220703	0.00242188
26	2.92969e-05	0	0.00822266	0.00905273	0	0	0.00203125	0.00230469
27	0	0	0.00685547	0.00751953	0	0	0.00140625	0.00163086
28	9.76562e-06	0	0.005625	0.00650391	0	0	0.00117187	0.00133789
29	0	0	0.00418945	0.00541016	0	0	0.000878906	0.00104492
30	0	0	0.0031543	0.00375977	0	0	0.000576172	0.000722656
31	0	0	0.00172852	0.0028125	0	0	0.000429687	0.000566406

