%   0.82 |    62316 |     9508 |      100 | 1.49e-04 | 1.60e-03 ||     2.79 |     0.93 |  1099.27 ||     1.83 | 00h01'44  
R	NNC	IIC	NIC	INC	NNE	IIE	NIE	INE
0	0.262402	0.279531	0.107822	0.0983008	0.00519531	0.00581055	6.83594e-05	5.85937e-05
1	0.0347852	0.0229492	0.0568164	0.0568359	0.0015625	0.00118164	0.000166016	0.00015625
2	0.0806445	0.0829395	0.0451367	0.045752	0.00447266	0.00480469	0.000273438	0.000273438
3	0.0225488	0.0165918	0.0383301	0.038877	0.00183594	0.00163086	0.000507812	0.000439453
4	0.050918	0.0548926	0.0373047	0.0362109	0.00424805	0.00472656	0.00078125	0.000585937
5	0.0214941	0.0166699	0.0335547	0.0338379	0.00233398	0.00205078	0.000996094	0.000927734
6	0.0424023	0.0462695	0.0335352	0.0325977	0.00455078	0.005	0.0012207	0.00111328
7	0.02375	0.0190234	0.0336035	0.0324902	0.00304687	0.00273437	0.00142578	0.00148437
8	0.038252	0.0400195	0.0325	0.0325781	0.00524414	0.00546875	0.00245117	0.00209961
9	0.0254395	0.0243652	0.0333496	0.0328125	0.00450195	0.00411133	0.00235352	0.0025
10	0.0386621	0.0409668	0.0342578	0.0332227	0.00631836	0.00625977	0.00331055	0.00328125
11	0.0306836	0.0294824	0.0344629	0.0329395	0.00527344	0.00515625	0.00431641	0.00360352
12	0.0402246	0.0410937	0.0348438	0.0333008	0.00730469	0.00725586	0.0053125	0.00428711
13	0.036543	0.0343652	0.0362695	0.0355762	0.00648437	0.00626953	0.00569336	0.00552734
14	0.0389746	0.0387402	0.0361719	0.0342871	0.00726563	0.00762695	0.00615234	0.00617187
15	0.0332422	0.032832	0.0344141	0.0347754	0.00666992	0.00564453	0.00757812	0.00668945
16	0.0290918	0.0292285	0.0345801	0.034209	0.00587891	0.00598633	0.00723633	0.00722656
17	0.0218945	0.0216895	0.0314062	0.033457	0.0040625	0.00441406	0.00689453	0.0065625
18	0.0151953	0.0158496	0.0286719	0.0296387	0.00328125	0.00306641	0.00631836	0.00625977
19	0.00984375	0.00960938	0.0252148	0.0262207	0.00174805	0.00198242	0.00540039	0.00583008
20	0.00532227	0.00537109	0.0212012	0.024082	0.00113281	0.00114258	0.00450195	0.00519531
21	0.00257812	0.00262695	0.0188672	0.0199707	0.000458984	0.000537109	0.00349609	0.0040625
22	0.00120117	0.00109375	0.0161328	0.0173047	0.000253906	0.000244141	0.00336914	0.00378906
23	0.000458984	0.000400391	0.0137402	0.014707	7.8125e-05	7.8125e-05	0.00285156	0.00243164
24	0.000195312	0.000126953	0.0118164	0.0125293	9.76562e-06	2.92969e-05	0.00212891	0.00275391
25	3.90625e-05	4.88281e-05	0.0104199	0.011123	0	0	0.00194336	0.00199219
26	0	0	0.00830078	0.00907227	0	0	0.00137695	0.00192383
27	0	9.76562e-06	0.00693359	0.00750977	0	0	0.00160156	0.00138672
28	0	0	0.00618164	0.00674805	0	0	0.00114258	0.00142578
29	0	0	0.00474609	0.00567383	0	0	0.00114258	0.00107422
30	0	0	0.0037793	0.00454102	0	0	0.000761719	0.00101562
31	0	0	0.00242188	0.00348633	0	0	0.000439453	0.000644531


