%   0.11 |      203 |    14160 |      100 | 6.81e-02 | 4.93e-01 ||     1.71 |     0.57 |  1794.38 ||     0.98 | 00h00'00  
R	NNC	IIC	NIC	INC	NNE	IIE	NIE	INE	DC	DE
0	0.145488	0.154102	0.026416	0.0238379	0.00548828	0.00644531	7.8125e-05	4.88281e-05	0.441426	0.00399414
1	0.0153711	0.00898437	0.0268262	0.0254102	0.00130859	0.00111328	0.000166016	0.000175781	0.0103711	0.00356445
2	0.0688672	0.0759766	0.0274512	0.0271875	0.00577148	0.00625	0.000390625	0.000253906	0.106064	0.00455078
3	0.0162109	0.0127344	0.0280859	0.0268945	0.00211914	0.00168945	0.000537109	0.000488281	0.00936523	0.00451172
4	0.0551465	0.0575586	0.0296094	0.0280176	0.00624023	0.00674805	0.000712891	0.000644531	0.0588379	0.0050293
5	0.018457	0.0152051	0.029248	0.0286133	0.00258789	0.00269531	0.00101562	0.00100586	0.00915039	0.00509766
6	0.0472656	0.0509473	0.0318555	0.0301367	0.006875	0.00745117	0.00142578	0.00124023	0.0408301	0.00548828
7	0.0230566	0.0196094	0.0322852	0.0319336	0.00413086	0.0040918	0.00201172	0.00185547	0.00975586	0.00624023
8	0.0462305	0.0472949	0.0332813	0.0318359	0.0080957	0.00774414	0.0028418	0.00248047	0.0310254	0.00686523
9	0.0295605	0.0261133	0.0356445	0.0330469	0.00576172	0.00566406	0.00395508	0.00330078	0.0104688	0.0074707
10	0.0476074	0.0494043	0.0373242	0.0359277	0.00943359	0.00993164	0.00474609	0.00428711	0.0245996	0.0090625
11	0.0379199	0.0348145	0.0408789	0.0388574	0.00855469	0.00797852	0.00630859	0.00610352	0.0124219	0.00869141
12	0.0512305	0.0541602	0.0428027	0.0405176	0.0119043	0.0120312	0.00772461	0.00698242	0.0211523	0.0104199
13	0.0455762	0.0428027	0.0462109	0.0443262	0.0106348	0.00989258	0.00949219	0.00923828	0.0131348	0.010752
14	0.0509277	0.0505957	0.0480273	0.0458691	0.0126172	0.0122363	0.0103711	0.00983398	0.016709	0.0119238
15	0.0439355	0.0413379	0.0466406	0.047041	0.0107617	0.0101758	0.0114453	0.011416	0.0116406	0.0104004
16	0.0380957	0.040293	0.0455273	0.0447168	0.0097168	0.00963867	0.0118555	0.0112793	0.0113477	0.00895508
17	0.0295215	0.0281836	0.0426367	0.0444824	0.00750977	0.0074707	0.0116211	0.0116602	0.00770508	0.00720703
18	0.0214648	0.0209277	0.0381738	0.0384375	0.00543945	0.00526367	0.0104785	0.0108203	0.00583008	0.00508789
19	0.0128809	0.0130371	0.0320312	0.0339063	0.00303711	0.00341797	0.00902344	0.00900391	0.00324219	0.00291016
20	0.00765625	0.00761719	0.0274121	0.0304297	0.00192383	0.00207031	0.00791016	0.00775391	0.00192383	0.00167969
21	0.00350586	0.00397461	0.0223437	0.024834	0.000927734	0.00106445	0.00612305	0.00664063	0.000898438	0.00102539
22	0.00174805	0.00186523	0.0188184	0.0211328	0.000439453	0.000292969	0.00473633	0.00539062	0.000400391	0.000332031
23	0.000527344	0.000664063	0.0155664	0.017041	0.000166016	0.000136719	0.00388672	0.0043457	0.000136719	0.000195313
24	0.000166016	0.000205078	0.0121973	0.0144531	3.90625e-05	1.95312e-05	0.00298828	0.00353516	4.88281e-05	5.85937e-05
25	5.85937e-05	6.83594e-05	0.0107129	0.0116797	1.95312e-05	0	0.00236328	0.00282227	0	0
26	9.76562e-06	9.76562e-06	0.00918945	0.0100977	9.76562e-06	0	0.00213867	0.00213867	0	0
27	0	0	0.00716797	0.00839844	0	0	0.00196289	0.00224609	0	0
28	0	0	0.00525391	0.00630859	0	0	0.00128906	0.00172852	0	0
29	0	0	0.00423828	0.00499023	0	0	0.00102539	0.00100586	0	0
30	0	0	0.00293945	0.00402344	0	0	0.000595703	0.000957031	0	0
31	0	0	0.00168945	0.00257813	0	0	0.000292969	0.000556641	0	0
