X Y0.1 Y0.3 Y0.5 Y0.7 Y0.9 Y1.1 Y1.3 Y1.5 
1 1    0    0    1    1    3    22   51
2 6 10 14 21 32 34 71 167
3 5 11 6 26 21 32 74 108
4 4 2 6 13 11 15 28 28
5 3 5 5 12 16 19 25 48
6 4 12 6 7 19 16 21 15
7 1 0 3 5 8 9 16 13
8 2 4 9 9 9 16 17 16
9 3 4 4 6 5 19 13 12
10 1 0 4 6 8 6 12 11
11 1 1 5 4 14 6 9 2
12 2 4 2 6 10 7 8 4
13 3 4 5 8 6 5 7 3
14 1 4 9 3 4 6 2 1
15 2 1 4 3 6 8 10 1
16 1 4 6 3 3 10 3 2
17 4 2 4 6 5 5 6 2
18 1 2 7 6 5 4 6 0
19 3 3 3 5 2 12 5 1
20 1 4 3 6 6 7 2 2
21 466 435 402 346 309 261 143 13
22   0    0   0   0   0   0   0
