X Y0.1 Y0.3 Y0.5 Y0.7 Y0.9 Y1.1 Y1.3 Y1.5
1  0 1 1 2 4 11 13 18
2  7 13 16 40 64 104 146 141
3  3 9 11 30 46 92 141 186
4  1 6 14 8 17 35 42 43
5  2 4 16 10 22 23 17 10
6  2 4 8 21 19 21 19 8
7  4 4 10 5 14 26 47 43
8  2 2 10 9 10 11 10 7
9  2 6 5 8 11 18 25 20
10 1 2 6 10 9 8 6 1
11 4 3 3 8 5 4 1 3
12 3 5 9 2 4 10 13 9
13 0 5 5 12 10 3 2 1
14 2 4 7 9 8 7 2 0
15 5 0 6 9 7 0 1 1
16 1 4 4 4 4 6 2 1
17 0 3 7 4 7 6 0 0
18 1 6 10 7 6 2 3 2
19 1 4 2 3 2 2 0 1
20 1 0 8 7 4 5 1 2
21 473 425 345 292 227 106 9 3
22 0    0   0   0   0   0   0
























