X Y0.1 Y0.3 Y0.5 Y0.7 Y0.9 Y1.1 Y1.3 Y1.5
1  0 1 1 2 0 2 4 1
2  1 1 4 5 4 16 30 13
3  2 11 9 12 24 49 47 11
4  0 3 6 2 22 12 7 0
5  0 1 3 4 9 9 10 2
6  0 2 3 10 9 34 268 423
7  0 3 7 6 6 13 10 4
8  0 2 4 5 7 10 18 10
9  2 2 2 7 9 7 11 1
10 0 2 1 4 6 11 23 10
11 2 2 3 2 6 9 1 0
12 0 2 4 5 4 8 6 5
13 0 2 6 5 5 3 2 0
14 0 3 4 3 3 5 4 3
15 0 4 1 4 2 4 0 0
16 0 2 2 5 3 2 3 2
17 1 5 1 2 6 3 0 0
18 0 0 4 2 5 3 2 3
19 0 2 3 5 2 3 0 0
20 0 1 3 3 3 2 4 0
21 511 466 434 410 365 295 50 12
22 0    0   0   0   0   0   0 




















